BASE EMOTION	EMOTION	 BODY AREA	PERSON					
judgemental	serious	Feel the stillness there. There’s an absence of play yet there’s nothing heavy about it.	There’s something important you need them to know. Transfer the core of it to them without using any words.					
judgemental	stern		 					
judgemental	judgemental	Feel how parts of that area have started to rot. The smell makes it difficult to sense other parts of your body. Feel how it is slowly spreading.	Feel how they’re doing it wrong. Every little movement. Even the intention of moving. You could do it better.					
judgemental	proud		 					
judgemental	combative	Feel that area fill with simmering black tar. Let it boil over.	Imagine them poking you, prodding. You push back. How do you get at them?					
			 					
open	satisfied							
open	interested		 					
open	confident		 					
open	receptive		 					
open	accepting		 					
open	present	Focus on the movement in that area. It causes no ripples. Details are solemn. Time is irrelevant.	Look deep into that person's eyes. Feel whatever it is their eyes are telling you. 					
open	empathetic		 					
open	friendly		 					
open	open		 					
open	free		 					
			 					
loving	sensitive		 					
loving	attracted		 					
loving	humble		 					
loving	loving		 					
loving	tender	Imagine a slow and warm pulsation in that area. It brings a sensation of safety.	Imagine radiating exactly what they need to feel loved and safe. Feel their love reflected back on you.  					
loving	warm		 					
loving	gracious		 					
loving	kindly		 					
loving	grateful		 					
loving	devoted		 					
loving	passionate		 					
			 					
happy	thankful	Feel that area relax more and more. As it realxes feel how it becomes a source of energy for the rest of your body. 	Know that you wouldn't be hear if it wasn't for them. 					
happy	satisfied		 					
happy	glad		 					
happy	cheerful		 					
happy	mellow		 					
happy	happy		 					
happy	delighted		 					
happy	gleeful		 					
happy	jovial		 					
happy	blissful	Imagine that area being filled with a strong but pleasant white light. The light spreads to the rest of your body. It knocks out your outer senses while giving your inner senses orgasms. 	They make the white light in your body even brighter. You can't hear what they're saying but. You can't stop smiling. 					
happy	joyous		 					
happy	overjoyed		 					
happy	ecstatic		 					
happy	elated		 					
happy	jubilant		 					
happy	euphoric		 					
happy	rapturous		 					
			 					
interested	curious		 					
interested	attentive		 					
interested	observant		 					
interested	interested		 					
interested	thoughtful		 					
interested	focused	Feel that area relax. The more it relaxes the stronger it gets.	Pay close attention to that person. What do they radiate?					
interested	fascinated	Feel that area crack open, revealing an infinite space with sparkling white light.	 					
interested	intrigued		 					
interested	absorbed		 					
interested	amazed		 					
			 					
alive	playful	Feel how that area is being tickled. 	Tell them a joke. Hear them laugh. See how they can't stop laughing.					
alive	optimistic	Feel how the energy of that area is spreading to the rest of your body. Slowly untying knots. It gets easier to move. 	They're giving you a thumbs up. Feel how their support fills your body.					
alive	alive	Feel a large opening fill with moving air. It’s hard to inhale with the fullness. A little bit light headed. Keep moving, keep moving.	 					
alive	energetic		 					
alive	liberated		 					
alive	frisky		 					
alive	spirited		 					
alive	thrilled		 					
alive	wonderful		 					
alive	excited		 					
alive	aroused	An enormous amount of energy is moving around that area. It's looking for actions to take. 	See that person walking towards you with firm steps. Grabbing your shoulders. 					
			 					
positive	keen		 					
positive	earnest		 					
positive	hopeful		 					
positive	positive		 					
positive	eager		 					
positive	inspired	Imagine a light but powerful flow making its way through that area and to the rest of your body. It makes it easy to breath. It opens up inner worlds that reaches way beyond the boundaries of your body. 	Imagine that person taking you by your hand, leading you to an elevated spot within the space. From there you can see beyond the confines of the space. They look excited. 					
positive	upbeat		 					
positive	motivated		 					
positive	brave		 					
positive	daring	Feel a large opening fill with moving air. It’s hard to inhale with the fullness. A little bit light headed. Keep moving, keep moving.	See yourself daring them. With gleaming eyes, they double dare you. You both hold your breath and jump.					
positive	exuberant		 					
			 					
peaceful	good		 					
peaceful	quiet		 					
peaceful	clear		 					
peaceful	okay		 					
peaceful	fine		 					
peaceful	peaceful		 					
peaceful	calm		 					
peaceful	content		 					
peaceful	certain		 					
peaceful	carefree	See the remnants of old perspectives that held you captive in this area. You move freely through them now. They get more and more frail the more you move. 	Imagine that person offering you a drink.					
peaceful	placid		 					 
peaceful	relaxed	Let that area spread slowly through your body, moving organ by organ. Feel the tension dissipate.	Imagine them giving you a head massage.					
peaceful	serene		 					
peaceful	radiant		 					
peaceful	reflective	Feel that area effortlessly bring home all the known pieces. Every piece, whether it fits or not, is right where it is supposed to be. 	Feel how okay it is to not understand everything about that person.					
peaceful	centered		 					
			 					
strong	secure		 					
strong	composed		 					
strong	sane		 					
strong	sure		 					
strong	honest	Feel that area getting clearer and clearer. And as it does it opens up more and more.	They're looking at you and you can tell they're really seeing you. All the way through.					
strong	dynamic		 					
strong	determined	Let the clarity of this area expand. Feel water moving through it in a straight line.	Bring their face into focus. Let everything else fade away.					
strong	excellent		 					
strong	energized	Breath in deeply feeling energy radiate from your core to your fingers and toes.	Imagine holding each other up, looking out into the distance together.					
