afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgmental	loving	open	peaceful	positive	sad	strong				
Assuming others have uncomfortable knowledge about you.	He said he wanted to	She’s not even looking our way.	 	What’s the use? It’s going to be loud. The food is usually not even that good. If I stay home I can at least eat my boring food in silence.	 	 	 	In here, it's empty.	I’m laying on the floor.	 	 	I will always keep you safe.	The sound of a stream	I’ll get another one.	I can just start with what I have now.	If I look back, I’ll break.	The only thing that is left when I stop analysing is: I love having you around.	 	 	 	 
Assuming others have bad intentions.	Everything felt sharp and hazy at the same time. I vaguely felt his body press into mine while a crunchy anger radiated outwards.	Hellooooo!	 	Look at this mess.	 	 	 	Out there, I don’t know.	dozing off with coffee in hand	 	 	I wish he was standing so I could offer him my seat.	My mind is still. What I perceive is what occupies it but without causing ripples. I perceive my emotions and not even them are causing my mind to move. Details are solemn. Time is irrelevant.	The baby is fine, believe me.	I don’t know but I look forward to seeing where I’ll end up!	I hadn’t seen my family in six months.	What else is there to say?	 	 	 	 
Being unsure of yourself.	The amount I want to be there would take a couple lifetimes but we have hours at most.	Your car! You need to move it!	 	Not like that, you’re doing it wrong. Everything is wrong.	 	 	 	In here, it’s safe. There’s a scary void. But it’s safe	I’m so tired of trying.	 	 	I hope he’s going home to someone who loves and takes care of him.	No analyzing, wondering, having opinions or otherwise thinking.	My whole body knows that everything is fine.	When I saw what she had done I was amazed.	While they were waiting for me at the airport, I was stranded at a different airport in a different country.	At the end of the day you need to take responsibility for your own learning.	 	 	 	 
I know you think he’s a nice guy but it got really uncomfortable when we were alone.	I am consumed with everything. I am nearly manic. I check in with friends and each one is a whole world unto themselves.	What ... Where is she going?	 	If we get a cat it’s not like there’s only going to be cuddles.	 	 	 	I am vaguely aware of the physical world and my own body. A floating sensation. It’s like an escape that brings me relief. At the same time it is a prison.	Feeling so utterly ineffective.	 	 	I don’t understand but I know and trust that you have your reasons. I will still be here. There is literally nowhere else I want to be.	Only experiencing.	It’s just a thing that humans made up to get the illusion that their projects are being managed.	A completely new way of thinking.	I asked a lady at the info desk if she could please help me call my mom.	Where my capabilities end, your responsponsibilities begin.	 	 	 	 
I am reaching for all thoughts containing clues.	An enormous amount of energy is moving around my chest. It’s looking for actions to take. The energy itself overpowers the initiations for action.	Are you kidding me?!!	 	It’ll be weeks of peeing everywhere before it learns where to pee.	 	 	 	The lake is black. It doesn’t even reflect the deep blue night sky. There is a sound of water lapping against the small pier. The soft wind brings a distorted sound of chatter from the cabin up on the hill. A yellow warm light coming from the windows makes the hill seem friendlier than this pier. They haven’t even noticed that I’m gone. They probably won’t. I wonder what it’s like to be missed by someone.	Eventually he moved out.	 	 	I find her around the corner of the house kicking the bike on the ground. “Stupid, stupid bike!” She is yelling. As soon as she realizes that I’m watching she crosses her arms and looks down in rage and shame. “GO AWAY!” I give her some space but make sure that she can still see me. She starts crying “I’m never going to learn”. I walk over, sit down next to her and place her on my lap. “Of course you will. The thing is, we don’t know how to do anything before we’ve learned how to do it. And until we’ve learned we fail everytime we do it. And because we can’t look into the future and feel what it’s like to do something we’ve never done, it’ll feel like it’s never going to happen. But then all of a sudden we’ve done it enough times and it works!” I pause. She has stopped crying. “Do you want to try again? Or should we take a break?” She gives me an annoyed look, stands up and grabs the bike. I guess my speech was more confusing than motivating. She disappears on the bike behind a bush before I have a chance to offer my help. I hear metallic bumps. She starts yelling again. “STUPID BIIIIIKE!” I give her some space but make sure that she can still see me.	Often involves appreciation.	The projects are pretty much illusions too.	I could do that too!	I couldn’t stop the tears falling down my cheeks.	That’s not how life works.	 	 	 	 
Trying to put it all together.	 	Hey!! HEY!!!	 	And sometimes they choose to pee in your shoes just to annoy you.	 	 	 	The laughter of playing toddlers hits an invisible barrier six feet away from me. It falls down to the ground and never reaches my ears. In here, it's empty. Out there, I don’t know. In here, it’s safe. There’s a scary void. But it’s safe.	too much for me, for us, to handle.	 	 	I don’t understand but I know and trust that you have your reasons. I will still be here.	I hear a woodpecker.	Anyway, they’re pointless out here.	I can disregard what I have been taught.	Please don’t leave right now.	The truth is I am scared.	 	 	 	 
My gut has been telling me “he is not to be trusted” while my brain has been saying “you need to be more understanding”.	 	Oh hell no, she is not getting away.	 	Believe me it’ll be more work than cuddles.	 	 	 	“What’s the matter? Didn’t you say you wanted to go? And now you’re acting all weird.” I’m staring at the floor. He knows exactly what happened. I tried to explain as usual. He turned it into my own fault, as usual. Words are pointless. Making an effort is pointless. I’m staring at the floor but I’m floating above the roof.	it’s just constant pushback	 	 	There is literally nowhere else I want to be.	The bark is cold and rough against my ear.	The best thing about this mall is the cocktail bar.	I can do it my way.	I need a hand to hold.	I told him exactly what happened. I went to disneyland.	 	 	 	 
If his behaviour is this irrational I obviously cannot trust him.	 	I slam the car door behind me as I almost run towards her with heavy determined feet.	 	What’s the use?	 	 	 	“Are you okay?” I look up. I’m not able to make a connection between the sound of, what might have been, a voice and the origin of it. An old, bearded man. His lips are moving. It makes the long, gray beard move too. I look out of the window. The sound of the train gets louder.	Again, again	 	 	I give her some space but make sure that she can still see me.	I can feel every peck on my skin.	The only right way to do christmas shopping is in the middle of the day while tipsy.	I didn’t know that was possible.	My own presence isn’t enough.	I am spending more time at school than I have to because I don’t want to come home to this any longer.	 	 	 	 
What else has he stolen?	 	He was sitting close enough for me to put my face right in front of his.	 	It’s going to be loud.	 	 	 	 	I am exhausted	 	 	 	I don’t say anything.	Which is why I am on my third bar break.	I am going to change that.	I need you to keep me from scattering.	We need a change.	 	 	 	 
I reevaluate our whole relationship.	 	I hissed “if that’s the case then that’s not your fucking problem, is it?”	 	The food is usually not even that good.	 	 	 	 	The blur of faces	 	 	 	I don’t feel like I should say anything	A lovely, dangerous game.	That’s the kind of person I want to be.	Every time I tried I could hear my voice tremble.	We need a serious change.	 	 	 	 
Each action that I previously saw at the border of distrust and understanding is now clearly on the distrust side.	 	I sat back down and turned away from him.	 	If I stay home I can at least eat my boring food in silence.	 	 	 	 	Can’t fall asleep, can’t wake up	 	 	 	We just sit there.	Lots of christmas gifts for everyone this year.	I still find more of my inner strength whenever I think of him.	I had to take long pauses.	I am affected by it too and it is making me feel even worse when you talk to me like this.	 	 	 	 
He has been lying about everything this whole time.	 	With clenched teeth I tried to pretend he wasn’t there.	 	 	 	 	 	 	Dozing off with coffee in hand	 	 	 	There is nothing but love in his eyes.	You know what? Go ahead!	 	It only helped for the moment.	 	 	 	 	 
Why in the world would my mind make up something like that?	 	Eventually he gave up and left but my jaw didn’t relax until much later.	 	 	 	 	 	 	 	 	 	 	I sense each punch as soon as she starts throwing them.	The consequences don’t scare me.	 	I tried to pretend that everything was fine but I think they all noticed.	 	 	 	 	 
Am I the one needing reevaluation?	 	I am not enjoying this. They are definitely not enjoying this.	 	 	 	 	 	 	 	 	 		 	You don’t scare me.	 	 	 	 	 	 	 
If anyone asks me what I think about it they’ll immediately realize that I have no idea what I’m talking about.	 	There is a very simple solution to all of it. But it is out of my reach.	 	 	 	 	 	 	 	 	 		 	Oops! Oh, well.	 	 	 	 	 	 	 
They’ll start wondering why I was even allowed to be here in the first place.	 	Right now there is chaos that I am not responsible for but that I have to answer for.	 	 	 	 	 	 	 	 	 		 	Lol!	 	 	 	 	 	 	 
During the introductions she gave me a look that said “How predictable. Not capable of forming thoughts with any kind of substance.”	 	It shouldn’t be like this!	 	 	 	 	 	 	 	 	 		 	If they do I’ll handle it when it happens.	 	 	 	 	 	 	 
Why did they accept me if I don’t belong here?	 	I hissed “if that’s the case then that’s not your fucking problem, is it?” 	 	 	 	 	 	 	 	 	 		 	What if this and what if that.	 	 	 	 	 	 	 
Maybe they always do that to one person. As a game.	 	I am not enjoying this. They are definitely not enjoying this. Hellooooo! I sat back down and turned away from him.	 	 	 	 	 	 	 	 	 		 	What if nothing?	 	 	 	 	 	 	 
All of a sudden he starts crossing the street. He is aiming for me.	 	Eventually he gave up and left but my jaw didn’t relax until much later. It shouldn’t be like this! Oh my god!	 	 	 	 	 	 	 	 	 		 	What if the apocalypse gets here before the end of the day?	 	 	 	 	 	 	 
He is going to push me down the slope.	 	Stop it. You cannot leave every time something makes you feel uncomfortable. You think you are protecting the both of us but you are making the gap between us bigger and bigger. The more you run away the further we get from being able to fix it. You need to stop right now. Or I will start hating you and everything will be lost forever.	 	 	 	 	 	 	 	 	 		 	It makes sense when I see it from his perspective. He is protecting himself and it has nothing to do with me. It feels good to know that I couldn’t have changed anything. I wish I could help, but it is okay that I can’t.	 	 	 	 	 	 	 
In shelter of the bushes he is going to rape me.	 	I don’t care about your opinions. We are getting nowhere. You think you have chosen the right side but every side is the wrong side. There are no winners. Your actions are disconnected from your true beliefs. I don’t know how to fix anything or if it’s even possible. But don’t you dare bring up your opinions again. They bring nothing but the unveiling of your ego.	 	 	 	 	 	 	 	 	 		 	Today I finished three out of five tasks on my list. The list was too long. It would have been enough with two. Three made me too tired to enjoy the day. But it did make me feel more accomplished than two would have. Perhaps there is a sweet spot between expectations and capabilities. Or perhaps finding that sweet spot is an impossible task. I did my best. If it feels like it wasn’t enough, it is my own making.	 	 	 	 	 	 	 
I know exactly what is about to happen to me.	 	They took all of our money. I really thought they were helping. But they took all of our money. I don’t know what’s worse, realizing that I am this naive or that there actually are people capable of that kind of deceit. The worst part is that I have no outlet. They are long gone and if I blame myself I will make things worse. I feel a deep need to break something.	 	 	 	 	 	 	 	 	 		 	When everything is constantly changing, how can we take so much for granted? I guess it would take a lot of energy to be open for everything at every moment. That must be why babies need so much sleep.	 	 	 	 	 	 	 
My legs are the only things not paralyzed.	 	Why do I keep doing this to myself? The same pattern. Over and over again. Where did my lack of self respect come from? If I could find the source, I would grab it by its throat and tell it to never come back.	 	 	 	 	 	 	 	 	 		 	I should have told her exactly what I felt. It is too late now and it hurts. I think it is because I lost an opportunity to get closure. I will have to find it myself. I will remember this sensation. I will speak next time it arises. Nothing is lost. All can be gained.	 	 	 	 	 	 	 
Trying to put it all together. Maybe they always do that to one person. As a game. I reevaluate our whole relationship. I am reaching for all thoughts containing clues. In shelter of the bushes he is going to rape me.	 	Look at me. I don’t ever want to see that kind of behaviour again. Is that clear? If you have a problem with someone in this group you tell me right away and we will deal with it. When you choose to act this disrespectful you are breaking the rules that we all promised to follow. It is unacceptable. The same goes for all of us. Do we agree?	 	 	 	 	 	 	 	 	 		 	It is like my heart is leading an analysis by letting my brain naturally unfold. Not seeking new information. Just letting the pieces that are already there find their fitting pieces through the light influence of gravity that is already there. Some pieces are left by themselves. That is okay. I see every piece and every piece is right where it is supposed to be.	 	 	 	 	 	 	 
