afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgemental	loving	open	peaceful	positive	sad	strong	
Don't make eye contact with the other ones! Something's not right. 	All you can think of is right now.	They took all of your money.	Would it be disrespectful to the universe if you flip a coin?	Every day is the same.	Do you really think they’d be happy for you?	Do you remember when you thought it was the end? Look at you now!	It doesn't matter what you do.	You can be so close to someone one day and gone the next.	You look like you've neglected your sleep for a while.	Which one of your most common thoughts is most surprising to you?	You know the kind.	I want you to hold my hand the way you would hold your grandma’s hand.	Feel your shoulders relaxing.	Watching you makes me feel calm.	What could go wrong?	When did this get so hard?	Do you feel how much this means to you?	 
Do you ever get that feeling that something is off? I can't put my finger on what it is right now. Can you tune in to it?	Remember what it’s like to be tickled.	If you feel a deep need to break something it is totally justified.	Hmm… Can you remember last time you had it?	Why did you even bother to come here?	What made you realize that his success was just a fluke?	I'd invite you! For sure.	You are not the right person.	Why won't you accept that he doesn't want you anymore?	Look, just go somewhere else if this doesn't interest you.	If you pay close attention, can you hear any sound not coming from a human being?	I know you think that anyone could do their job. You're right.	How would you want to show your gratitude to them?	Relax your jaw.	Have you noticed before how wise you become when you don't think?	You will be okay.	Why do you keep thinking about it if it hurts so much?	Nobody else can touch you	 
Make sure your back is clear. Wherever you go. 	You can do this.	If you could find the source, wouldn't you grab it by its throat and tell it to never come back?	You need to make up your mind.	Are you even appreciating any of it?	I sense that you're not as impressed as the rest.	I really appreciate that you're able to laugh about your mistakes.	Eventually you'll start crying too.	You're no longer needed.	Why are you looking at them like they're not even here?	Your head is glowing. In a good way.	Are you going to accept that?	You know when you can't really explain it with words? You just feel it in your whole body. They are like gravity.	No, it didn't go the way you planned. Yes, you know it happened the way it was supposed to happen.	Everything is going to be okay.	When the time is right I know you will.	Don’t think of her. You'll only make it worse.	It’s working.	 
I think it's fine. Just don't talk to anyone. Just to be sure. 	You are amazing!	Make sure you never have to see that kind of behaviour from them again.	Why are you blushing?	Slip down the drain.	You look impressed so why do you act so angry?	I'd love to know what you're smiling about	You are not capable of handling this.	You can't make someone want to be close to you.	If I told you a joke you wouldn't even get it.	What would it take for you to really listen to them?	You know you’re right.	When they are fulfilled, you are truly fulfilled. I see it.	Everything happens exactly how it is supposed to happen. Let that sink in.	Wow, what did you do to become so… grounded?	I don't doubt it.	You look broken.	Some of your thoughts are honestly very strange. But you know you're right.	 
You should stop ignoring that weird thing in your gut. It's trying to tell you something. Don't run away from it. 	What if you'd trip someone in this space?	You will not accept that behaviour ever again.	Walk back the same way you came from.	I can barely distinguish you from the background.	Why should you treat her with respect?	The look your eyes get when you think about the ones you love... It’s just so wonderful to see.	You're not worth waiting for.	Are you alone again?	Just go home.	What have you learned so far?	Don't let your time be wasted.	The way you held him until he fell asleep.	You did what you could and that is all that matters.	Take your time. No need to rush.	Sometimes you just have to trust your gut.	Could anything still heal you at this point?	That’s right, keep telling them.	 
Stop wandering!	Knock, knock!	Why do you keep letting them tell you what to do?	Okay, you're looking at me like you have nowhere to go.	Did you see how everyone else moved away when you got her?	After everything you've done for them…	Well done!	Are you sure you exist?	You can blame it on her but your own expectations led you here.	You’re in a gallery but all you can think about is when you're going home?	You're being very quiet. Actively quiet.	How should she change?	You're lucky to have her in your life.	If you leave now what is lost really?	You carry the ocean within you. Just listen.	You're contagious.	He’s gone.	No matter how slow you’re walking, you know it’s the right path.	 
Pay attention.	If not today, tomorrow.	It doesn't matter how hard you try to make them understand.	What do you want me to do about it?	Do you even know what’s at the core of it any longer?	They don't deserve your attention.	Are you ticklish? If I had a body I’d find out.	You're slowly sinking.	Just because you buried the scar under commitments it doesn't mean it’s not there.	Wow, you don't have to be here you know?	You remind me of Yin. The passive force of expansion. It suits you.	What should he do differently?	Your patience with them is inspiring.	Weird things happen to me too. I have started to embrace the changes. You can too.	Where is your favorite place for contemplation? You carry it with you. Always.	You can't wait to tell her about this experience, can you?	She’s gone.	There’s a difference between knowing the truth and feeling the truth in your core.	 
Why are you trembling?	Should you poke the stranger next to you?	You should ease some of that pressure. Your head is shaking from it.	Fake it ‘til you make it then.	Do you even remember the last time you looked forward to the next day?	You could do it better than him.	You remind me of the feeling of finally being warmed up by the sun after a cold, wet hike. It’s like being healed.	It’s too heavy for you.	What would it take for you to expose the scar?	Seriously, put down your phone.	Last time something profoundly changed your understanding of something. Do you remember what it felt like to be so receptive?	What can you do better than them?	You see them.	What would it take for you to fully embrace the changes?	Taking one deep breath is all it takes to remind yourself.	Look at you, prancing around.	It’s too deep. You're beyond reach.	I remember when you couldn't stop crying. I remember when you emerged at the other end.	 
What was that?	It feels like you’recharging my batteries.	It’s out of your control and you refuse to see it.	Didn't I see you here a minute ago?	You have forgotten why you became this way.	How much more work have you put in?	I see a crystal clear, rippling stream gently running through your body. What does it feel like?	You're too weak.	Do you really think they’d wait for you?	When was the last time you actually showed some interest in something?	If you focus your eyes on one point and don't blink, everything will eventually turn gray. Have you ever tried it?	Is anyone here even in your league?	Next time, you shouldn't hold back. Hug her the way you want to hug her.	You're a good friend.	You made it through.	Please stay around!	It will get easier once you face it. Until then, your reality is down here.	Most people don't know what they're doing. You're not most people	 
Sometimes I feel an intruding presence. Do you ever get that feeling?	The day is too short!	Why do you let them poke you like that?	The instructions are simple, so stop staring at me like that.	You think the world around you is the problem but we both know it’s really you.	It’s like no one even remembers what you did any longer.	After you're done here, what can you do to make you feel even better?	You have no idea where to go.	Maybe it’s you and not them.	Why don't you ever take responsibility and actually initiate something yourself?	Whenever you feel something, where is the origin?	Sometimes you do have the right to look down at someone.	Did you even know you could feel like this?	You make me feel warm.	This is where you came to rest.	What’s that song you're humming?	Why does it hurt when you think about it?	I know they got it all wrong but I can see it doesn't bother you.	 
You make me want to look over my shoulder.	You should come to my birthday party!	Use that energy to your benefit! Go tell her off!	I'm trying to help you but it’s kinda difficult when you keep changing the subject.	Doesn't matter how hard you try.	She looks happier than you.	Treat yourself.	You have no one to call.	Anytime you think of her, she’s not thinking of you.	You're making me lose motivation.	Is there anything else you could do about it?	You did better than all of them!	You look relaxed when you think of them.	Things went pretty well in the end, didn't they?	What do you find in your stillness?	I agree with you. This too will pass.	Do you get relief when you sleep?	Do you hear their words? Do you acknowledge their reality? Never let it affect your own.	 
Do you know where the exits are located?	Did you notice how everyone started glowing when you arrived?	At some point you need to make them listen to you.	You weren't alone when you walked in here… where you?	I'm surprised to see you here.	They look a lot fitter than you.	I am at a loss for words. In a good way. Does that ever happen to you?	You have no place to stay.	Remember when they finally invited you? It was out of pity, nothing else.	When did you stop caring?	Is there another path you could take?	This moment is all about you.	Of course you'll let him get away with it. It’s pretty cute.	You are right where you're supposed to be.	What gifts come to you when you stop looking?	Why are you smiling?	Sometimes they come back in my dreams. Does that ever happen to you?	No matter the material result. You have always gained something. Always.	 
Don't linger too long.	How did you become so effortless?	If she won't change her mind you should force her.	You look familiar. Do you have a YouTube channel?	Who forced you to be here?	I guess while you were having trouble getting out of bed he was already working out.	Sometimes, taking a deep breath is all it takes to remind yourself.	You're completely empty.	You keep walking into the same trap. Maybe you're the one to blame.	Why did you stop caring?	You're getting closer to the truth. Just keep going.	Unlike them, you knew what you were doing	You're so cute when you're acting this way.	You did what you could and that is all that is asked of you.	Movement can only be born out of your stillness.	Something about you makes my blood flow easier.	I want to support you. I’m sorry, but you're too heavy.	First there is knowing. The kind of knowing you attain simply by your presence. Then there is action.	 
Can you put a finger on what’s bothering you?	Who did you get your wit from?	He lost his chance. You have what it takes to destroy him.	Are you sure about the details?	You're the equivalent of paper flavored ice cream.	You should show them.	Tell me about one of your ‘little things’.	Don't even bother saying anything.	You can only pretend to not remember what it felt like.	Why did you stop trying?	What about it makes you feel this way?	Why aren't they asking you for your opinion?	I wish you could feel that way about me.	You look weightless.	What happens when you let go?	The blood flows so easy through your brain.	I don't know what I could possibly tell you to make things lighter.	Acknowledging your doubt will only bring you closer to your goal.	 
You need to calm down.	You bring light to this place.	Who will you destroy?	Did you hit your head or something?	 	 	 	If you speak, the emptiness will only steal your voice.	The more you hide the safer you are.	When did you stop trying?	 	They only find you condescending because they know you're right.	 	How did you finally come to terms with it?	Where in your body is your origin?	Why don't you want to wait?		You know most of it is subjective. What matters is how you experience it. Take control.	 
Take a deep breath and calm down.	 	 	 	 	 	 	When did this get so hard?	 	Have you thought about what you're missing?	 	 	 	 	You look like a still lake.		 	Something tells me this isn't the last time I hear of you.	 
It’s all in your head.	 	 	 	 	 	 	 	 	When did you become blind?	 	 	 	 	You make me want to pause for a moment.	 	 	You remind me of gravity.	 
	 	 	 	 	 	 	 	 	 	 	 	 	 	Let’s wait and see.	 	 	At the end of the day you need to take responsibility for your own learning.	 
	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	Where my capabilities end, your responsponsibilities begin.	 
	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	The truth is you know that you are scared. And you know that that's okay.	 
	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		 
	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		 
	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		 
	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 		
	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
	 		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
	 		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
	 		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
	 		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
	 																	
	 																	
	 																	
	 																	
	 																	
	 																	
	 																	
	 																	
	 																	
	 																	
