afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgemental	loving	open	peaceful	positive	sad	strong
Don't trust this	Don't hold back	Speak in a measured tone	Ask "What if?"	Turn away	Admire	Let them know you are happy to be here	Remember COVID-19	Take it personally	Detach from emotion	Clarify	Back away	Appreciate them	Accept	Self soothe	Imagine the best possible outcome for this conversation	Whisper ‘please don't leave’	Maintain energy
Consider what could go wrong	Embrace your feelings	Grip your armrests tightly	Shake your head	Reflect on your worst memory	Look at them in disgust.	Mention something you appreciate about them	Imagine slowly falling	Imagine their words bouncing against your body	Look away	Encourage	Don't let them too close	Appreciate this time	Affirm what they're saying	Feel the ground beneath you	Keep this going	Whisper ‘I'm afraid I'll scatter’.	Repeat yourself
Worry	Agree emphatically	Clench your fingers	Look around the room	Embrace the grayness	Shake your head and say ‘It’s not right’	Compliment them	Say "I don't know"	Ignore them	Tap your foot	Animate your face	Take a hard look	Uncross your arms	Imagine you are meeting each other for the first time	Notice the seat you're sitting in	Recognize their support	Try to hide your worry.	Strengthen your position
Breath in and out rapidly	Hold eye contact	Stiffen your posture	Let the talking fade into the background	Shut down conversation	Wish you had what they have.	Encourage	Apologize	Distance yourself	Play a song in your head	Question	Roll your eyes.	Open your body	Look around	Look at them	Say, "Yes, and"	Keep your hands in your lap and look at them.	Double down
Keep looking behind you	Sit up straighter	Bristle	Float away	Question the point of this conversation	Think about killing them if they keep bragging.	Trust them	Mumble	Back away	Pretend you're somewhere else.	Keep asking	Say 'ew'	Look at them	Smile	Look around you	Be as present as possible	Breathe shallowly.	Hold firm in your belief
Watch out	Relax	Shake your head in disbelief	Repeatedly change your mind	Lay down	Wish you were them.	Lean in	Don't move a muscle.	Tell them "Be honest"	Lean back.	Take this further	Tell them that you see right through them	Nod	Nod approvingly	Repeat a mantra	Hold onto this time together	Whisper ‘I don't know what I need’	Challenge them
Look for the exit.	Feel your body	Feel your body temperature rise	Forget your words.	Rest your head	Tell them that they were just lucky.	Hum a song in your head	Breathe shallowly.	Forget it	Let your mind wander.	Repeat what they said back with more energy	Tell them that anyone could do their job	Engage	Shrug and laugh	Pay attention to your breath.	Take it further	Remember another conversation you had that filled you up	Stop analyzing and tell them what you really think.
Don't pay attention.	Dare them.	Repeat yourself loudly	What they're telling you doesn't seem right.	Slow your breathing	Say “what goes up must come down”	Thank them for being here.	Close your eyes and shake your head.	Let it go	Change the subject.	Lean forward and gasp.	Disagree	Feel your heart beating.	Tell them that they're interesting.	Slow down your breath.	Challenge them	Imagine you are talking to a good friend you are no longer in touch with	Tell them that you see through them and that it’s okay.
Avoid their question.	Take a few fast but deep breaths.	Tell them, with your firmest voice, to stop.	Question yourself.	Inhale without any feeling of satisfaction	Stare at them.	Tell them you're getting goosebumps	Hug your knees.	Swallow your feelings	Ask “how would you like me to respond?”	Tell them, ‘Wow, I didn't know that.’	Tune them out	Feel your chest expanding.	Ask them if they would like to hear your story.	Say “I think we're onto something”.	Show off	Fail to pick up your pieces.	Ask for more
Mumble.	Feel adventurous.	Stare them right into their eyes without ever letting your stare drift.	Lose your train of thought.	Stop paying attention	Pretend you're happy for them.	Giggle.	Whisper “don't mind me”:	Tell them “you don't even see me”.	Don't give them any attention.	Ask them, ‘Isn't that amazing?’	Question what they're saying	Take them in.	Tell them that you understand.	Smile.	Ignore all doubts	Hide your face.	Inhale deeply
Tell them to stop questioning you.	Propose a local adventure.	Tell them that their behaviour is unacceptable.	Give them a sceptical look.	Feel the distance between you	Insult them.	Consider if you're falling in love.	Whisper that you're sorry.	Hide your scars.	Sigh.	Pay attention to the undertones of their voice.	Propose a better alternative	Tell them you're glad they came.	Hear what’s underneath the words.	Let them in.	Say “let’s do this”.	Refuse to let go.	Tell them what you've been wanting
Ask them why they’re here.	Forget about the rules.	Clench your fist.	Ask them again.	Make no effort.	Compliment them with a fake smile.	Say “what a day!”	Tell them to please stay.	Close your heart.	Respond to something else.	Read between the lines too.	Tell them that they're making a fool out of themselves.	Feel their gravity.	See what they're saying with their body.	Warm them up.	Feel how they bring light into the conversation.	Sink	Believe everything you're saying
They're asking too many questions.	Tell them to forget about the rules.	Clench your teeth.	Ask them who they are.	Hear your own words from a far distance.	Dislike them.	Take them in.	Think about what it would take to save the world.	Hide your face.	Say “whatever”.	Never drift.	Widen your chest.	Don't take your eyes off them.	Take it in.	Accept them.	Know that it will only get better.	Realize that what’s lost is lost.	Talk like you're leading the way.
Avoid the subject.	Allow yourself to drift from the subject.	Destroy them.	Forget where you are.	Realize that it won't get better.	Make an effort to be nice.	Glow	Remember that it’ll get a lot worse before it gets better.	Look away.	Pull out your phone.	Say “wow!”	Straighten your back.	Caress them with your mind.	Gently absorb them.	Let go of your opinion.	Hum while smiling.	Wish things were different.	Feel the truth of what you're saying.
They see through you.	Take it further.	They are wrong. You are right.	Say “Wait a second…”	See how your realities are separate.	Exaggerate what you have.	Share	Realize that they're not talking to you.	Whisper that they don't understand.	Ask them what they're talking about.	Nod intensely.	Look down at them.	Say ‘all is good’.	Lean forward and rest your chin in your hand.	Slow down.	See the light.	Fall down to your knees.	Admit your flaws.
Prepare to flee.		Bite your fist.	Turn away from them.	Detach.	Know what you deserve.	See the solution.	Open your mouth but don’t find the words.	Don't answer them.	Say “uhm”.	Ask them if it’s really true.	Tell them to listen.	Lose your words.	Tell them that you're there for them.	Slowly take off your shoes.	Feel their light.	Beg for forgiveness.	Acknowledge their reality but don't let it affect yours.
Agree with them just to be safe.		Stand up and yell at them.	Blush.	Slouch.	 	Want this moment to last.	 	Resist walking away.	Say “I guess”.	Tell them that you haven't thought about it that way before.	Point at them with your hand.	Gently pull them in.	Think about what they said.	Feel before you act.	Deepen your breath.	Regret	Take control.
Avoid confrontation.		Tell them “you don't know what I've been through”.	Disappear.	Pretend you're not there.	 	Expect it to get even better.	 	Tell them that they should apologize.	Lose track.	 	Pat yourself on the chest.	Expand towards them.	Wonder out loud	Experience before anything.	 	Let your head fall to your chest.	Be like gravity.
Rethink.		Tell them to shut up.	 	 	 	 	 	 	Don't listen to them.	 	Smile condescendingly.	Open up	 	 	 	 	 
		Yell “You're not listening”!	 	 	 	 	 	 	Forget about it.	 	 	Get closer	 	 	 	 	 
		Tell them to sit down.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		Tell them to show respect.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
		 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
