afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgemental	loving	open	peaceful	positive	sad	strong
Don't make eye contact with the other ones! Something's not right. 	All you can think of is right now.	They took all of your money.	Would it be disrespectful to the universe if you flip a coin?	Every day is the same.	Do you really think they’d be happy for you?	Do you remember when you thought it was the end? Look at you now!	It doesn't matter what you do.	You can be so close to someone one day and gone the next.	You look like you've neglected your sleep for a while.	Which one of your most common thoughts is most surprising to you?	You know the kind.	I want you to hold my hand the way you would hold your grandma’s hand.	Feel your shoulders relaxing.	Watching you makes me feel calm.	What could go wrong?	When did this get so hard?	Do you feel how much this means to you?
Do you ever get that feeling that something is off? I can't put my finger on what it is right now. Can you tune in to it?	Remember what it’s like to be tickled.	If you feel a deep need to break something it is totally justified.	Hmm… Can you remember last time you had it?	Why did you even bother to come here?	What made you realize that his success was just a fluke?	I'd invite you! For sure.	You are not the right person.	Why won't you accept that he doesn't want you anymore?	Look, just go somewhere else if this doesn't interest you.	If you pay close attention, can you hear any sound not coming from a human being?	I know you think that anyone could do their job. You're right.	How would you want to show your gratitude to them?	Relax your jaw.	Have you noticed before how wise you become when you don't think?	You will be okay.	Why do you keep thinking about it if it hurts so much?	Nobody else can touch you.
Make sure your back is clear. Wherever you go. 	You can do this.	If you could find the source, wouldn't you grab it by its throat and tell it to never come back?	You need to make up your mind.	Are you even appreciating any of it?	I sense that you're not as impressed as the rest.	I really appreciate that you're able to laugh about your mistakes.	Eventually you'll start crying too.	You're no longer needed.	Why are you looking at them like they're not even here?	Your head is glowing. In a good way.	Are you going to accept that?	You know when you can't really explain it with words? You just feel it in your whole body. They are like gravity.	No, it didn't go the way you planned. Yes, you know it happened the way it was supposed to happen.	Everything is going to be okay.	When the time is right I know you will.	Don’t think of her. You'll only make it worse.	It’s working.
I think it's fine. Just don't talk to anyone. Just to be sure. 	You are amazing!	Make sure you never have to see that kind of behaviour from them again.	Why are you blushing?	Slip down the drain.	You look impressed so why do you act so angry?	I'd love to know what you're smiling about	You are not capable of handling this.	You can't make someone want to be close to you.	If I told you a joke you wouldn't even get it.	What would it take for you to really listen to them?	You know you’re right.	When they are fulfilled, you are truly fulfilled. I see it.	Everything happens exactly how it is supposed to happen. Let that sink in.	Wow, what did you do to become so… grounded?	I don't doubt it.	You look broken.	Some of your thoughts are honestly very strange. But you know you're right.
You should stop ignoring that weird thing in your gut. It's trying to tell you something. Don't run away from it. 	What if you'd trip someone in this space?	You will not accept that behaviour ever again.	Walk back the same way you came from.	I can barely distinguish you from the background.	Why should you treat her with respect?	The look your eyes get when you think about the ones you love... It’s just so wonderful to see.	You're not worth waiting for.	Are you alone again?	Just go home.	What have you learned so far?	Don't let your time be wasted.	The way you held him until he fell asleep.	You did what you could and that is all that matters.	Take your time. No need to rush.	Sometimes you just have to trust your gut.	Could anything still heal you at this point?	That’s right, keep telling them.
Stop wandering!	Knock, knock!	Why do you keep letting them tell you what to do?	Okay, you're looking at me like you have nowhere to go.	Did you see how everyone else moved away when you got here?	After everything you've done for them…	Well done!	Are you sure you exist?	You can blame it on her but your own expectations led you here.	You’re in a gallery but all you can think about is when you're going home?	You're being very quiet. Actively quiet.	How should she change?	You're lucky to have her in your life.	If you leave now what is lost really?	You carry the ocean within you. Just listen.	You're contagious.	He’s gone.	No matter how slow you’re walking, you know it’s the right path.
Pay attention.	If not today, tomorrow.	It doesn't matter how hard you try to make them understand.	What do you want me to do about it?	Do you even know what’s at the core of it any longer?	They don't deserve your attention.	Are you ticklish? If I had a body I’d find out.	You're slowly sinking.	Just because you buried the scar under commitments it doesn't mean it’s not there.	Wow, you don't have to be here you know?	You remind me of Yin. The passive force of expansion. It suits you.	What should he do differently?	Your patience with them is inspiring.	Weird things happen to me too. I have started to embrace the changes. You can too.	Where is your favorite place for contemplation? You carry it with you. Always.	You can't wait to tell her about this experience, can you?	She’s gone.	There’s a difference between knowing the truth and feeling the truth in your core.
Why are you trembling?	Should you poke the stranger next to you?	You should ease some of that pressure. Your head is shaking from it.	Fake it ‘til you make it then.	Do you even remember the last time you looked forward to the next day?	You could do it better than him.	You remind me of the feeling of finally being warmed up by the sun after a cold, wet hike. It’s like being healed.	It’s too heavy for you.	What would it take for you to expose the scar?	Seriously, put down your phone.	Last time something profoundly changed your understanding of something. Do you remember what it felt like to be so receptive?	What can you do better than them?	You see them.	What would it take for you to fully embrace the changes?	Taking one deep breath is all it takes to remind yourself.	Look at you, prancing around.	It’s too deep. You're beyond reach.	I remember when you couldn't stop crying. I remember when you emerged at the other end.
What was that?	It feels like you’recharging my batteries.	It’s out of your control and you refuse to see it.	Didn't I see you here a minute ago?	You have forgotten why you became this way.	How much more work have you put in?	I see a crystal clear, rippling stream gently running through your body. What does it feel like?	You're too weak.	Do you really think they’d wait for you?	When was the last time you actually showed some interest in something?	If you focus your eyes on one point and don't blink, everything will eventually turn gray. Have you ever tried it?	Is anyone here even in your league?	Next time, you shouldn't hold back. Hug her the way you want to hug her.	You're a good friend.	You made it through.	Please stay around!	It will get easier once you face it. Until then, your reality is down here.	Most people don't know what they're doing. You're not most people.
Sometimes I feel an intruding presence. Do you ever get that feeling?	The day is too short!	Why do you let them poke you like that?	The instructions are simple, so stop staring at me like that.	You think the world around you is the problem but we both know it’s really you.	It’s like no one even remembers what you did any longer.	After you're done here, what can you do to make you feel even better?	You have no idea where to go.	Maybe it’s you and not them.	Why don't you ever take responsibility and actually initiate something yourself?	Whenever you feel something, where is the origin?	Sometimes you do have the right to look down at someone.	Did you even know you could feel like this?	You make me feel warm.	This is where you came to rest.	What’s that song you're humming?	Why does it hurt when you think about it?	I know they got it all wrong but I can see it doesn't bother you.
You make me want to look over my shoulder.	You should come to my birthday party!	Use that energy to your benefit! Go tell her off!	I'm trying to help you but it’s kinda difficult when you keep changing the subject.	Doesn't matter how hard you try.	She looks happier than you.	Treat yourself.	You have no one to call.	Anytime you think of her, she’s not thinking of you.	You're making me lose motivation.	Is there anything else you could do about it?	You did better than all of them!	You look relaxed when you think of them.	Things went pretty well in the end, didn't they?	What do you find in your stillness?	I agree with you. This too will pass.	Do you get relief when you sleep?	Do you hear their words? Do you acknowledge their reality? Never let it affect your own.
Do you know where the exits are located?	Did you notice how everyone started glowing when you arrived?	At some point you need to make them listen to you.	You weren't alone when you walked in here… were you?	I'm surprised to see you here.	They look a lot fitter than you.	I am at a loss for words. In a good way. Does that ever happen to you?	You have no place to stay.	Remember when they finally invited you? It was out of pity, nothing else.	When did you stop caring?	Is there another path you could take?	This moment is all about you.	Of course you'll let him get away with it. It’s pretty cute.	You are right where you're supposed to be.	What gifts come to you when you stop looking?	Why are you smiling?	Sometimes they come back in my dreams. Does that ever happen to you?	No matter the material result. You have always gained something. Always.
Don't linger too long.	How did you become so effortless?	If she won't change her mind you should force her.	You look familiar. Do you have a YouTube channel?	Who forced you to be here?	I guess while you were having trouble getting out of bed he was already working out.	Sometimes, taking a deep breath is all it takes to remind yourself.	You're completely empty.	You keep walking into the same trap. Maybe you're the one to blame.	Why did you stop caring?	You're getting closer to the truth. Just keep going.	Unlike them, you knew what you were doing	You're so cute when you're acting this way.	You did what you could and that is all that is asked of you.	Movement can only be born out of your stillness.	Something about you makes my blood flow easier.	I want to support you. I’m sorry, but you're too heavy.	First there is knowing. The kind of knowing you attain simply by your presence. Then there is action.
Can you put a finger on what’s bothering you?	Who did you get your wit from?	He lost his chance. You have what it takes to destroy him.	Are you sure about the details?	You're the equivalent of paper flavored ice cream.	You should show them.	Tell me about one of your ‘little things’.	Don't even bother saying anything.	You can only pretend to not remember what it felt like.	Why did you stop trying?	What about it makes you feel this way?	Why aren't they asking you for your opinion?	I wish you could feel that way about me.	You look weightless.	What happens when you let go?	The blood flows so easy through your brain.	I don't know what I could possibly tell you to make things lighter.	Acknowledging your doubt will only bring you closer to your goal.
You need to calm down.	You bring light to this place.	Who will you destroy?	Did you hit your head or something?	Can hope pierce through the darkness?	Does their success feel like a heavy weight on you?	Can you grasp the magic in this moment right now?	If you speak, the emptiness will only steal your voice.	The more you hide the safer you are.	When did you stop trying?	What profound lessons has life offered you thus far?	They only find you condescending because they know you're right.	How does warmth manifest in different parts of your body?	How did you finally come to terms with it?	Where in your body is your origin?	Why don't you want to wait?	Why pretend everything is fine when it's clearly breaking inside?	You know most of it is subjective. What matters is how you experience it. Take control.
Take a deep breath and calm down.	What's the wildest adventure you've yet to embark on?	Letting her off easy won't erase the injustice. Stand up!	Where does the road lead if both paths seem equally uncertain?	Do you feel the weight of unseen sorrows?	Why does their happiness amplify your own discontent?	Do you hear the symphony of joy echoing within you?	When did this get so hard?	Have they noticed your absence?	Have you thought about what you're missing?	What unique energy draws you in?	What falls below your own standards?	Who occupies your thoughts when the light envelops your soul?	Can you envision a perspective where only possibilities unfold?	You look like a still lake.	You are ursting with innovative ideas.	Does her memory linger?	Something tells me this isn't the last time I hear of you.
It’s all in your head.	Celebrate the heartbeat of the moment.	Ignoring it won't heal the wound; confront the source.	Can you decipher the tangled threads of thoughts?	Do whispers of despair echo louder than words?	Are their achievements a constant reminder of your own shortcomings?	What ignites the sparks of delight in your soul today?	Can you see a way out of this situation?	Are you invisible to them?	When did you become blind?	Have you explored the depths within yourself?	Do you believe others fail to match your intellectual depth?	What sensations arise as you extend care?	Do intuitive answers surface effortlessly?	You make me want to pause for a moment.	Can you anticipate potential challenges and swiftly overcome them?	Does his memory linger?	You remind me of gravity.
When did self-trust falter?	Why worry about trivialities?	Tension clenches your jaw. Release the grip on your peace.	What if the last piece of the puzzle is lost?	Do echoes of sorrow reverberate through the corridors of solitude?	Can you recall a moment when their joy soured your mood?	Are the butterflies in your stomach orchestrating a joyous dance?	What if every step brings you deeper?	Are you alone in your memories?	Why does the burden always fall on me?	Where does the origin of your emotions lie within your body?	How does laziness in others contrast with your disciplined mindset?	Can you recall the magical moment of kissing someone deeply?	How does the newest insight resonate within your understanding?	Let’s wait and see.	Why stick to conventional wisdom when you know your way?	Can you remember what she smells like?	At the end of the day you need to take responsibility for your own learning.
Why this gut-brain discord?	 Dive into a real, thrilling pursuit instead.	It's not fair. Demand what you're rightfully owed.	How do you decipher a code without knowing the language?	Do the scars resonate with silent symphonies?	Do their accomplishments stir resentment within you?	How does the warmth within you radiate to the world?	Will your efforts make any difference?	What words can express the pain within?	How many repetitions until it registers in their minds?	What aspects of yourself continue to surprise and intrigue you?	Do you perceive them as a waste of human potential?	Have you experienced the gravitational pull of deep emotional connection?	A minute of releasing thoughts might reveal next steps.	Can you see the other side of this?	What's your next creative leap?	Can you remember what he smells like?	Where my capabilities end, your responsponsibilities begin.
Are you aware they see through you?	Savor the thrill of a dangerous ballet.	Recall the moments when you were wronged.	Is the fog in your mind lifting or thickening?	A silent scream echoes the unspoken pain.	Are your talents acknowledged?	What fuels the laughter bubbling up from the depths of you?	How heavy does the burden weigh on you?	Where did the connection fracture?	Why must I bear this without question?	What series of events, a century ago, paved your existence today?	What elements make others appear fake?	Who do you envision falling asleep in your embrace tonight?	What happens when you fully embrace unexpected and weird changes?	Are you rooted in self-reflection?	When analysis ceases, what remains is the joy of connection.	Who could prevent the fragments from drifting away?	No one can handle this responsibility like you can.
Have all pieces aligned?	Play the game.	What triggers your fury, bubbling beneath the surface?	Options reveal a new uncharted territory.	Tears, the unspoken poetry etched on the canvas of solitude.	Does their happiness cast a shadow over you?	Can you trace the origins of your infectious grin?	How does the emptiness drown out your voice?	Why linger in the shadows when they moved on?	Why bother?	Can you pinpoint the origin of your emotions when you feel them?	Can you see through the façade of those trying to be nice?	Can you envision holding hands with them?	How did you come to terms with a situation that challenged you?	Find the balance between capabilities and expectations.	Express your fearless and confident self.	Why does the ache stay your chest?	Boldly share the unfiltered truth.
Do you hear that mysterious noise?	What adventure is waiting?	Why tolerate their disrespect any longer?	Are you juggling too many questions with no safety net?	In solitude, heavy hearts carry burdens unseen by the world.	Have you questioned the fairness of their good fortune?	Have you ever felt this beautifully content before?	What if your actions only add to the weight?	Have expectations led you to disappointment?	Why invest in something that holds no importance to you?	Is there an alternative course or path you've yet to explore?	Why do others fail to grasp concepts you find elementary?	Warmth spreads from your core.	Can you imagine a reality where challenges are seen as opportunities?	Feel the ebb and flow.	Is there anything that lies outside your realm of capabilities?	Does solitude weigh heavily on your soul?	Do not let desire push you forward.
Sensing unease, tuning in?	Go ahead, seize the unknown.	Confront them; it’s overdue.	Can you find clarity?	Are dreams obscured by the heavy fog of doubt?	Why does their happiness taste bitter on your tongue?	What blissful melody does your heart play?	Is there anyone you trust enough to share your struggles?	Can you hear your own cries?	What's the purpose?	Can you take a different route that leads you closer?	Are they oblivious to the intellectual depth you bring to discussions?	What unspoken connection transcends words?	When did you begin to see the unfolding of life's perfect plan?	Feel the gentle touch of air on your face.	Where does your limitless power lead you?	Is everything perpetually slipping away?	You are prepared for any challenges.
Back away slowly; vigilant steps.	New beginnings await your vibrant spirit.	Maybe revenge is worth the cost.	What if the pieces of the puzzle don't fit together?	Amidst the silence, an internal tempest rages, unseen but felt.	How does comparison poison the well of your contentment?	How does the elixir of joy taste today?	Do you fear becoming a shadow of your former self?	Where did you disappear to?	Can't you just accept the situation as it is?	What situations call your attention?	Is laziness an affliction they're unwilling to overcome?	What does it feel like when you embrace someone with genuine affection?	Do you see that everything happens as intended?	Locate tension and release it.	You're on the path to achieving greatness.	When did the journey become an arduous struggle?	You are invulnerable to others.
Silence with caution.	Now matters most.	Release the pent-up frustration.	Is the noise in your mind drowning out the signals of clarity?	Does the ache within whisper of hidden battles fought alone?	Do their possessions leave you longing for more?	Your spirit dances in the rain of pure delight.	How does the void within you grow more profound?	What made you retreat?	You're not bound by obligation.	How does your curiosity contribute to your growth?	Are you the sole custodian of intellectualism in this environment?	Can you express the feeling of thinking of a loved one?	Can you sense the weightlessness that accompanies acceptance?	What ignites your innate wisdom?	Embrace your intuition.	Why endure the persistent thoughts that intensify the prevailing hurt?	Recall conquering tearful moments.
Don't ignore unsettling gut signals.	Feel the tickling joy of being fully present.	Never endure their disrespectful behavior again.	Can you hear the whispers of doubt?	Can you trace the contours of sorrow etched on your soul?	Why do their blessings feel like your burdens?	What vibrant hues paint the canvas of your emotions?	Have you contemplated the toll of carrying this heavy load?	Why does closeness dissolve into distance so abruptly?	When was the last time you really cared?	What hidden facets within yourself could be further uncovered?	How do you avoid wasting your valuable time on others?	How does your generosity inspire and uplift those who receive it?	What allowed you to navigate transformative changes?	What is your favorite contemplative place within?	You're absolutely radiant, influencing those around you.	Does avoidance worsen the pain?	You're not like most.
Cease aimless wandering.	Can you feel your extraordinary capability?	Stop yielding to their commands.	Are you wandering through a minefield of confusion?	Does the night echo your silent, heavy sighs?	Does their joy magnify the void in your own life?	Does the sensation of joy ripple through your very being?	Can you sense the walls closing in?	Have you accepted the change in connection?	Genuine curiosity seems like a relic from a distant past.	Are there sounds or sights unnoticed in the daily human symphony?	How should they transform to meet your standards?	What are the special qualities in those you love?	Is there a way to see the journey as a series of opportunities?	What gifts emerge in your moments of tranquility?	What enthusiastic story will you eagerly share?	Why persist in the brokenness?	Undeterred, unbothered.
Heightened awareness is essential.	Embrace your essence.	Why do you endure them?	Can you untangle the knots of uncertainty?	Do memories wear the shroud of melancholy?	Your accomplishments are shadowed by their triumphs.	The euphoria within you is a celebration of life's magic.	Does it all feel like an exercise in futility?	Are you realizing you're no longer essential?	Why not leave?	How does your curiosity lead you to unexpected discoveries?	What adjustments do you think he should make to improve?	Who brings a sense of security and comfort into your life?	Can you identify moments when you effortlessly go with the flow?	Can you feel your internal tide?	Why not celebrate your vibrant energy with a joyful dance?	Can anything bridge the void left by their departure?	Grounding and attracting.
Shivering with uncertainty.	Amazing vibes radiate from your core.	Speak out; demand respect now.	The paradoxes in your thoughts are a mosaic.	Can you feel the weight on your heart in the stillness?	Their joy mirrors the emptiness you feel in your achievements.	Do you feel the sparks of joy lighting up your aura?	What if you've become a stranger even to yourself?	Your body is a shell devoid of presence.	Why linger here if your interest is elsewhere?	Have you ever explored alternative routes?	Do you believe you surpass others' capabilities?	Can you imagine hugging someone with the intensity your heart desires?	How did you navigate challenges with grace and inner calm?	What unfolds when you release control?	What's the uplifting melody humming through your thoughts?	Stillness beckons, a refuge from the chaos.	Regardless of outcomes, gain.
Strange occurrences unexplained.	Opportunity awaits.	Does it stir your inner storm?	The puzzle of your thoughts has missing pieces.	Can the weight on your shoulders be lifted?	Your accomplishments are eclipsed by theirs.	Can you sense the radiant glow?	How does the darkness obscure the way forward?	You exist in a windowed gaze, distant from the surrounding world.	Repetition echoes.	Is there an untrodden path that beckons your exploration?	Is anyone around you truly on par with you?	Your caring presence is a testament to your boundless affection.	Find solace in the unexpected twists and turns.	Where does your origin reside within your body?	Why delay?	Reality remains submerged and heavy.	Preparedness defines your strength.
An intruding, unsettling, and familiar presence.	Your lively presence is a gift.	How much longer can you handle the heat?	The mental fog obscures the clarity you seek.	What echoes do you hear from the void?	Their success is a constant reminder of your own unfulfilled potential.	Your joy is a contagious wildfire.	Your existence feels like a fading whisper in the void.	Do they wait for your return or have they moved on?	Do you realize your presence is optional?	What revelations have become clearer to you?	When do you feel justified in looking down on someone?	Flowers bloom, a reflection of your tender touch.	When did you realize you were right where you were supposed to be?	Discover your inner ocean.	A plan isn't needed; you already possess the perfect starting point.	When do memories of the past resurface?	Perseverance defines your resilience.
Watchful glances intensify vigilance.	Leap into the unknown.	Resentment weave its threads into your thoughts.	The mental landscape is a terrain of ambiguity.	Do you feel the shadows clinging to your thoughts?	Their happiness is a stark contrast to your own dissatisfaction.	Your laughter sweetens the air around.	The struggle leaves you gasping for air in a vacuum.	Your absence goes unnoticed.	What's the point when nothing changes?	Can you forge a new path?	Does outperforming others to validate your superiority?	You foster a sanctuary of safety and warmth around those you cherish.	Release the noise.	What revelations arise when you cease searching?	Embrace the confidence within yourself.	Does sleep offer solace, a temporary escape from unrelenting grief?	Keep asserting your narrative.
Locate emergency exits now.	Feel the charge.	Emotions surge beneath the surface.	The uncertainty is a dense forest.	Can you find an exit in the labyrinth of despair?	Their achievements mock your efforts.	The warmth in your eyes lights up the room.	The strength you once possessed now feels like a distant memory.	The reflection barely resembles who you once were.	Can't you just accept the situation?	How does you shape your responses to life's challenges?	Justifiable condescension surfaces.	A warm glow emanates, encapsulating you in a cocoon of affection.	You're steering through the journey with mastery and grace.	How does stillness transform into graceful movement?	Trust your instincts; you know the right path.	I can still hear her voice.	Acknowledge fear, embrace growth.
Swift, avoid lingering.	Your aura illuminates celebrations.	Embers of frustration smolder quietly.	Your mental fabric is woven with a complex pattern.	Do you search for a lifeline in the sea of desolation?	You resent being overlooked.	Your radiant glow is a testament to the joy within.	The walls tighten their grip around you.	The echoes of your pain reverberate.	Is everything the same to you?	Can you identify the source of your inspiration?	Your capabilities exceed expectations, elevating you beyond their reach.	Thoughts of a special someone bring a radiant warmth to your aura.	In control and navigating the currents with confidence and poise.	Where does your calmness originate?	Overflowing with brilliant ideas, let creativity guide your next step.	I can still hear his voice.	Unaffected, unbothered.
Identify the source of discomfort.	The dance of your breath is a choreography of vitality.	Do you feel the tempest brewing inside?	The intersection of ideas is a traffic jam.	Does the silent scream echo within?	Their good fortune is a thorn pricking at you.	Can you envision the fireworks of joy?	Every effort seems futile against the overwhelming tide.	Are you truly okay amid the turmoil?	Acceptance replaces engagement.	The boundaries of curiosity expand endlessly within your mind.	They fail to uphold your standards.	You truly see the unique qualities that make each person special.	A special light guides your chosen path.	What prompts you to pause?	Elevate your approach with an even more intriguing touch.	Pretending fades, revealing the fractures beneath the surface.	No one else can control you.
Avoid prolonged exposure.	Your laughter is a melody.	Fan the flames.	The riddle of indecision is a labyrinth.	Can you hear the murmur of vanishing dreams?	Their contentment accentuates the void in your own life.	Your laughter is a sunbeam, casting warmth upon all near.	How does the absence amplify your struggle?	Cries for connection hang in the air, unheard, unanswered.	All things blend into sameness.	Unique energies captivate your attention.	You must resist stooping to their level.	Embrace with the intensity your heart longs to share.	Embrace a profound truth.	Where does patience lead?	Your capabilities reign supreme.	Persistent ache accompanies those memories.	Drown out external noise.
Unexplained unease lingers.	You are the vibrant hues of living.	Sense the storm clouds gathering.	Every thought leaves traces of confusion.	Shadows linger.	Their success fuels the flames of discontent within your heart.	How does the laughter within ripple through you?	The weight of uncertainty presses down.	Your presence houses a void of unanswered questions.	Are you even listening?	Exploring the depths within yourself reveals a rich landscape.	How often do they test your patience with their incompetence?	Unspoken connections transcend words.	Knowing what to do next rests in your capable hands.	His perspective unveils new dimensions.	Your fearlessness speaks volumes.	Even sleep offers no respite, it follows you in your dreams.	You have the means to make your own decisions.
Be cautious in every interaction.	The warmth of the sun is a gentle reminder that you are a part of this living, breathing world.	Can you feel the heat rise?	The roadmap of your decisions is a multi-level maze.	Dreams are delicate petals crushed beneath the weight.	You've become a spectator in the arena.	Your happiness paints the world in vibrant strokes of color.	Your once-clear purpose now appears as a distant, hazy mirage.	The scars beneath throb.	Apathy lingers.	Hidden complexities within the mind may go unnoticed for a long time.	Their laziness appears as a stark contrast to your discipline.	Whose laughter brings warmth to the deepest corners of your soul?	Feel shoulders relaxing, shedding the burdens that weigh you down.	Inner reflection shifts perspectives.	Fear has no place.	Trembling voices murmur the unspoken heartache within.	You are in control of your future.
Presence felt; unsettling aura.	Your dreams are the constellations lighting up the vast expanse of your possibilities.	Do you sense the turbulence?	In the garden of thoughts, ambiguity blooms in vibrant hues.	Tears carve valleys in our hearts.	Your efforts seem to evaporate in the face of their success.	Your blissful aura transforms the mundane into magic.	The burden you bear eclipses any glimmer of light ahead.	Irrelevance is a bitter pill to swallow in solitude.	It's not worth it.	Surprises continue to emerge as you delve into yourself.	Your discerning mind recognizes wasted potential.	Hold someone until peaceful slumber envelops them.	Set free the unspoken tension within.	Openly share your heartfelt emotions.	Empowered with boundless abilities, where will you venture next?	Fragments are adrift in the abyss within.	Assert your narrative.
Pinpoint unsettling thoughts.	Your courage is the beacon that illuminates the path to a more vibrant life.	Your emotions are a cyclone.	There are no landmarks to guide the way.	Fragile hopes, wilted without the touch of sunlight.	They enjoy the spotlight, while you remain in the shadows.	The symphony of joy within you is a celebration of life.	The emptiness within expands, swallowing the remnants of hope.	Forcing closeness proves futile.	Will anything really change?	Relativity weaves its threads through your understanding of the world.	A sense of elevated worthiness separates you from the masses.	Can you recall the exact moment your heart whispered "forever"?	Planned or not, each unfolding is in perfect accordance with life.	Steady, deep breaths anchor tranquility.	No external force can halt your momentum.	Your voice trembles with hidden pain.	You can direct your path.
