afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgmental	loving	open	peaceful	positive	sad	strong				
Assuming others have uncomfortable knowledge about you.	He said he wanted to	She’s not even looking our way.	 	 	 	 	 	In here, it's empty.	I’m laying on the floor.	 	 	I will always keep you safe.	My neck is aching from my posture but I have accepted it. In this position he can reach my cheek over the side rails of the hospital bed. His hand feels fragile and warm. He is barely in his body any longer but he is looking into my eyes like he for the first time can see all that I am. There is nothing but love in his eyes.	I’ll get another one.	I can just start with what I have now.	 		 	 	 	 
Assuming others have bad intentions.	Everything felt sharp and hazy at the same time. I vaguely felt his body press into mine while a crunchy anger radiated outwards.	Hellooooo!	 	 	 	 	 	Out there, I don’t know.	dozing off with coffee in hand	 	 	I wish he was standing so I could offer him my seat.	I sense each punch as soon as she starts throwing them. She slightly pumps her left hand. I catch the incoming jab. I throw a counter jab before she moves. It lands. I move my head. She hesitates. I feint a jab. Her hands move up. I shift level and shoot. A bump in my shoulder as I make contact. A second bump as we hit the ground.	The baby is fine, believe me.	I don’t know but I look forward to seeing where I’ll end up!	 	 	 	 	 	 
Being unsure of yourself.	The amount I want to be there would take a couple lifetimes but we have hours at most.	Your car! You need to move it!	 	 	 	 	 	In here, it’s safe. There’s a scary void. But it’s safe	I’m so tired of trying.	 	 	I hope he’s going home to someone who loves and takes care of him.	The sound of a bonfire	My whole body knows that everything is fine.	When I saw what she had done I was amazed.	 	 	 	 	 	 
I know you think he’s a nice guy but it got really uncomfortable when we were alone.	I am consumed with everything. I am nearly manic. I check in with friends and each one is a whole world unto themselves.	What ... Where is she going?	 	 	 	 	 	I am vaguely aware of the physical world and my own body. A floating sensation. It’s like an escape that brings me relief. At the same time it is a prison.	Feeling so utterly ineffective.	 	 	 	The sound of the wind in a forest	It’s just a thing that humans made up to get the illusion that their projects are being managed.	A completely new way of thinking.	 	 	 	 	 	 
I am reaching for all thoughts containing clues.	 	Are you kidding me?!!	 	 	 	 	 	The lake is black. It doesn’t even reflect the deep blue night sky. There is a sound of water lapping against the small pier. The soft wind brings a distorted sound of chatter from the cabin up on the hill. A yellow warm light coming from the windows makes the hill seem friendlier than this pier. They haven’t even noticed that I’m gone. They probably won’t. I wonder what it’s like to be missed by someone.	Eventually he moved out.	 	 	 	The smell of rain on pavement	The projects are pretty much illusions too.	I could do that too!	 	 	 	 	 	 
Trying to put it all together.	 	Hey!! HEY!!!	 	 	 	 	 	The laughter of playing toddlers hits an invisible barrier six feet away from me. It falls down to the ground and never reaches my ears. In here, it's empty. Out there, I don’t know. In here, it’s safe. There’s a scary void. But it’s safe.	too much for me, for us, to handle.	 	 	 	The smell of the ocean	Anyway, they’re pointless out here.	I can disregard what I have been taught.	 	 	 	 	 	 
My gut has been telling me “he is not to be trusted” while my brain has been saying “you need to be more understanding”.	 	Oh hell no, she is not getting away.	 	 	 	 	 	“What’s the matter? Didn’t you say you wanted to go? And now you’re acting all weird.” I’m staring at the floor. He knows exactly what happened. I tried to explain as usual. He turned it into my own fault, as usual. Words are pointless. Making an effort is pointless. I’m staring at the floor but I’m floating above the roof.	it’s just constant pushback	 	 	 	The touch of a cool breeze	The best thing about this mall is the cocktail bar.	I can do it my way.	 	 	 	 	 	 
If his behaviour is this irrational I obviously cannot trust him.	 	I slam the car door behind me as I almost run towards her with heavy determined feet.	 	 	 	 	 	“Are you okay?” I look up. I’m not able to make a connection between the sound of, what might have been, a voice and the origin of it. An old, bearded man. His lips are moving. It makes the long, gray beard move too. I look out of the window. The sound of the train gets louder.	Again, again	 	 	 	The smell of your loved one	The only right way to do christmas shopping is in the middle of the day while tipsy.	I didn’t know that was possible.	 	 	 	 	 	 
What else has he stolen?	 	He was sitting close enough for me to put my face right in front of his.	 	 	 	 	 	 	I am exhausted	 	 	 	The sound of a stream	Which is why I am on my third bar break.	I am going to change that.	 	 	 	 	 	 
I reevaluate our whole relationship.	 	I hissed “if that’s the case then that’s not your fucking problem, is it?”	 	 	 	 	 	 	The blur of faces	 	 	 	My mind is still. What I perceive is what occupies it but without causing ripples. I perceive my emotions and not even them are causing my mind to move. Details are solemn. Time is irrelevant.	A lovely, dangerous game.	That’s the kind of person I want to be.	 	 	 	 	 	 
Each action that I previously saw at the border of distrust and understanding is now clearly on the distrust side.	 	I sat back down and turned away from him.	 	 	 	 	 	 	Can’t fall asleep, can’t wake up	 	 	 	No analyzing, wondering, having opinions or otherwise thinking.	Lots of christmas gifts for everyone this year.	I still find more of my inner strength whenever I think of him.	 	 	 	 	 	 
He has been lying about everything this whole time.	 	With clenched teeth I tried to pretend he wasn’t there.	 	 	 	 	 	 	Dozing off with coffee in hand	 	 	 	Only experiencing.	You know what? Go ahead!	 	 	 	 	 	 	 
Why in the world would my mind make up something like that?	 	Eventually he gave up and left but my jaw didn’t relax until much later.	 	 	 	 	 	 	 	 	 	 	Often involves appreciation.	The consequences don’t scare me.	 	 	 	 	 	 	 
Am I the one needing reevaluation?	 	I am not enjoying this. They are definitely not enjoying this.	 	 	 	 	 	 	 	 	 	 	I hear a woodpecker.	You don’t scare me.	 	 	 	 	 	 	 
If anyone asks me what I think about it they’ll immediately realize that I have no idea what I’m talking about.	 	There is a very simple solution to all of it. But it is out of my reach.	 	 	 	 	 	 	 	 	 	 	The bark is cold and rough against my ear.	Oops! Oh, well.	 	 	 	 	 	 	 
They’ll start wondering why I was even allowed to be here in the first place.	 	Right now there is chaos that I am not responsible for but that I have to answer for.	 	 	 	 	 	 	 	 	 	 	I can feel every peck on my skin.	Lol!	 	 	 	 	 	 	 
During the introductions she gave me a look that said “How predictable. Not capable of forming thoughts with any kind of substance.”	 	It shouldn’t be like this!	 	 	 	 	 	 	 	 	 	 	I don’t say anything.	If they do I’ll handle it when it happens.	 	 	 	 	 	 	 
Why did they accept me if I don’t belong here?	 	I hissed “if that’s the case then that’s not your fucking problem, is it?” There is a very simple solution to all of it that is out of my reach. Hey!! HEY!!!	 	 	 	 	 	 	 	 	 	 	I don’t feel like I should say anything	What if this and what if that.	 	 	 	 	 	 	 
Maybe they always do that to one person. As a game.	 	I am not enjoying this. They are definitely not enjoying this. Hellooooo! I sat back down and turned away from him.	 	 	 	 	 	 	 	 	 	 	We just sit there.	What if nothing?	 	 	 	 	 	 	 
All of a sudden he starts crossing the street. He is aiming for me.	 	Eventually he gave up and left but my jaw didn’t relax until much later. It shouldn’t be like this! Oh my god!	 	 	 	 	 	 	 	 	 	 	There is nothing but love in his eyes.	What if the apocalypse gets here before the end of the day?	 	 	 	 	 	 	 
He is going to push me down the slope.	 	 	 	 	 	 	 	 	 	 	 	 	I sense each punch as soon as she starts throwing them.	It makes sense when I see it from his perspective. He is protecting himself and it has nothing to do with me. It feels good to know that I couldn’t have changed anything. I wish I could help, but it is okay that I can’t.	 	 	 	 	 	 	 
In shelter of the bushes he is going to rape me.	 	 	 	 	 	 	 	 	 	 	 	 	 	Today I finished three out of five tasks on my list. The list was too long. It would have been enough with two. Three made me too tired to enjoy the day. But it did make me feel more accomplished than two would have. Perhaps there is a sweet spot between expectations and capabilities. Or perhaps finding that sweet spot is an impossible task. I did my best. If it feels like it wasn’t enough, it is my own making.	 	 	 	 	 	 	 
I know exactly what is about to happen to me.	 	 	 	 	 	 	 	 	 	 	 	 	 	When everything is constantly changing, how can we take so much for granted? I guess it would take a lot of energy to be open for everything at every moment. That must be why babies need so much sleep.	 	 	 	 	 	 	 
My legs are the only things not paralyzed.	 	 	 	 	 	 	 	 	 	 	 	 	 	I should have told her exactly what I felt. It is too late now and it hurts. I think it is because I lost an opportunity to get closure. I will have to find it myself. I will remember this sensation. I will speak next time it arises. Nothing is lost. All can be gained.	 	 	 	 	 	 	 
Trying to put it all together. Maybe they always do that to one person. As a game. I reevaluate our whole relationship. I am reaching for all thoughts containing clues. In shelter of the bushes he is going to rape me.	 	 	 	 	 	 	 	 	 	 	 	 	 	It is like my heart is leading an analysis by letting my brain naturally unfold. Not seeking new information. Just letting the pieces that are already there find their fitting pieces through the light influence of gravity that is already there. Some pieces are left by themselves. That is okay. I see every piece and every piece is right where it is supposed to be.	 	 	 	 	 	 	 
Why did they accept me if I don’t belong here? If his behaviour is this irrational I obviously cannot trust him. Why in the world would my mind make up something like that? He has been lying about everything this whole time.	 	 	 	 	 	 	 	 	 	 	 	 	 	It makes sense when I see it from his perspective.	 	 	 	 	 	 	 
They’ll start wondering why I was even allowed to be here in the first place. My legs are the only things not paralyzed.	 		 	 	 	 	 	 	 	 	 	 	 	He is protecting himself and it has nothing to do with me.	 	 	 	 	 	 	 
I know exactly what is about to happen to me. Am I the one needing reevaluation? What else has he stolen?	 		 	 	 	 	 	 	 	 	 	 	 	It feels good to know that I couldn’t have changed anything.	 	 	 	 	 	 	 
Google knew my baby’s name before I did.	 		 	 	 	 	 	 	 	 	 	 	 	I wish I could help, but it is okay that I can’t.	 	 	 	 	 	 	 
	 		 	 	 	 	 	 	 	 	 	 	 	Perhaps there is a sweet spot between expectations and capabilities.	 	 	 	 	 	 	 
	 		 	 	 	 	 	 	 	 	 	 	 	Perhaps finding that sweet spot is an impossible task.	 	 	 	 	 	 	 
	 													I did my best.							
	 													If it feels like it wasn’t enough, it is my own making.							
	 													When everything is constantly changing, how can we take so much for granted?							
	 													I guess it would take a lot of energy to be open for everything at every moment.							
	 													That must be why babies need so much sleep.							
														I should have told her exactly what I felt.							
														It is too late now and it hurts.							
														I lost an opportunity to get closure.							
														Nothing is lost.							
														All can be gained.							
