afraid	alive	angry	confused	depressed	envious	happy	helpless	hurt	indifferent	interested	judgemental	loving	open	peaceful	positive	sad	strong				
Assuming others have uncomfortable knowledge about you.	He said he wanted to	She's not even looking our way.	Or she could reply.	What's the use? It's going to be loud. The food is usually not even that good. If I stay home I can at least eat my boring food in silence.	Why am I the only one feeling this way?	I couldn't believe my eyes. I finally understood how people could come up with fantasy places like that planet in Avatar. They actually exist. I kept yelling: are you fucking kidding me? I don't know if I was yelling at myself or god.	They all think I'm lazy but I just don't notice it.	In here, it's empty.	dozing off with coffee in hand	His fingers have transported to the actual time of when it happened.	Some people go through a long process to be approved to adopt. But any idiot can accidentally become a parent without knowing anything about love. No one knows how to parent before having a child. Most people can learn, but others are simply not worthy. Some people should not be allowed to have kids.	I will always keep you safe.	The sound of a stream	I'll get another one.	I don't know but I look forward to seeing where I'll end up!	If I look back, I'll break.	The only thing that is left when I stop analysing is: I love having you around.	 	 	 	 
Assuming others have bad intentions.	Everything felt sharp and hazy at the same time. I vaguely felt his body press into mine while a crunchy anger radiated outwards.	Hellooooo!	Sounding happy or dismissive.	Look at this mess.	Nowhere in the universe is this right..	Two weeks ago I thought it was over. I thought he wouldn't make it out. That I had lost my last chance for at least six months. But here we are. Shoulder to shoulder. I forget to pay attention so I'd know when I'm supposed to laugh. But I hear every little syllable she says. I experience them as if they didn't have relationships to other syllables. And each one of them brings a unique message to the part of me that still remembers what purpose feels like. How am I supposed to know when she gets to the punchline?	I don't know how to be like them.	Out there, I don't know.	I'm so tired of trying.	They are proving the relativity of everything.	She's fake. They think she wants to help but I see right through her. Did you see how she went to grab the samples just when the creative director walked in? And she got all cred for it. She doesn't fucking care about the samples! I'm telling you, she doesn't. I'm the one who picked them out. I don't care how nice she seems.	I wish he was standing so I could offer him my seat.	My mind is still. What I perceive is what occupies it but without causing ripples. I perceive my emotions and not even them are causing my mind to move. Details are solemn. Time is irrelevant.	The baby is fine, believe me.	When I saw what she had done I was amazed.	I hadn't seen my family in six months.	What else is there to say?	 	 	 	 
Being unsure of yourself.	The amount I want to be there would take a couple lifetimes but we have hours at most.	Your car! You need to move it!	Or maybe indifferent.	Not like that, you're doing it wrong. Everything is wrong.	I wish I could be happy for him but the truth is I can't.	I couldn't believe my eyes.	I don't know how to care about the right things.	In here, it's safe. There's a scary void. But it's safe	Feeling so utterly ineffective.	I look at where the hurt should be.	I know the kind. He thinks his title means he knows what he's doing. Anyone could do his job.	I hope he's going home to someone who loves and takes care of him.	No analyzing, wondering, having opinions or otherwise thinking.	My whole body knows that everything is fine.	A completely new way of thinking.	While they were waiting for me at the airport, I was stranded at a different airport in a different country.	At the end of the day you need to take responsibility for your own learning.	 	 	 	 
I know you think he's a nice guy but it got really uncomfortable when we were alone.	I am consumed with everything. I am nearly manic. I check in with friends and each one is a whole world unto themselves.	What ... Where is she going?	If I don't text her I can keep on living in my fantasy world.	If we get a cat it's not like there's only going to be cuddles.	I guess the goal is just an excuse for them to be important.	They actually exist.	I need to do better.	I am vaguely aware of the physical world and my own body. A floating sensation. It's like an escape that brings me relief. At the same time it is a prison.	Eventually he moved out.	Is it stable because of strong denial or because of profound self respect?	I did way better than anyone in my class. I don't know why they were struggling. I finished all assignments in one day. Maybe they should have chosen something that fits them better. Something easier.	I don't understand but I know and trust that you have your reasons. I will still be here. There is literally nowhere else I want to be.	Only experiencing.	It's just a thing that humans made up to get the illusion that their projects are being managed.	I could do that too!	I asked a lady at the info desk if she could please help me call my mom.	Where my capabilities end, your responsponsibilities begin.	 	 	 	 
I am reaching for all thoughts containing clues.	An enormous amount of energy is moving around my chest. It's looking for actions to take. The energy itself overpowers the initiations for action.	Are you kidding me?!!	I wish I knew what I'm really risking.	It'll be weeks of peeing everywhere before it learns where to pee.	I honestly thought the goal itself was important.	I don't know if I was yelling at myself or god.	It's like mom stopped existing through some kind of evil magic.	The lake is black. It doesn't even reflect the deep blue night sky. There is a sound of water lapping against the small pier. The soft wind brings a distorted sound of chatter from the cabin up on the hill. A yellow warm light coming from the windows makes the hill seem friendlier than this pier. They haven't even noticed that I'm gone. They probably won't. I wonder what it's like to be missed by someone.	too much for me, for us, to handle.	It needs deeper investigation.	They're not using their own heads.	I find her around the corner of the house kicking the bike on the ground. “Stupid, stupid bike!” She is yelling. As soon as she realizes that I'm watching she crosses her arms and looks down in rage and shame. “GO AWAY!” I give her some space but make sure that she can still see me. She starts crying “I'm never going to learn”. I walk over, sit down next to her and place her on my lap. “Of course you will. The thing is, we don't know how to do anything before we've learned how to do it. And until we've learned we fail everytime we do it. And because we can't look into the future and feel what it's like to do something we've never done, it'll feel like it's never going to happen. But then all of a sudden we've done it enough times and it works!” I pause. She has stopped crying. “Do you want to try again? Or should we take a break?” She gives me an annoyed look, stands up and grabs the bike. I guess my speech was more confusing than motivating. She disappears on the bike behind a bush before I have a chance to offer my help. I hear metallic bumps. She starts yelling again. “STUPID BIIIIIKE!” I give her some space but make sure that she can still see me.	Often involves appreciation.	The projects are pretty much illusions too.	I can disregard what I have been taught.	I couldn't stop the tears falling down my cheeks.	That's not how life works.	 	 	 	 
Trying to put it all together.	I didn't think he'd actually fall! I put out my foot in front of him, next thing I knew all I could see was the sole of his feet sticking out of the next room. A textbook faceplant. I was laughing so hard I ended up lying down on the floor next to him.	Hey!! HEY!!!	I mean that changes everything.	And sometimes they choose to pee in your shoes just to annoy you.	I can't really put my finger on it.	But here we are.	The door was the last thing that got to experience her alive.	The laughter of playing toddlers hits an invisible barrier six feet away from me. It falls down to the ground and never reaches my ears. In here, it's empty. Out there, I don't know. In here, it's safe. There's a scary void. But it's safe.	it's just constant pushback	I take a deep breath.	I don't know if it's because they don't know how to or because they're lazy.	I don't understand but I know and trust that you have your reasons. I will still be here.	I hear a woodpecker.	Anyway, they're pointless out here.	I can do it my way.	Please don't leave right now.	The truth is I am scared.	 	 	 	 
My gut has been telling me “he is not to be trusted” while my brain has been saying “you need to be more understanding”.	What do you mean I have it? My hands are empty! You must have taken it! Or it disappeared. I don't see it. Wait a second … what's that behind your ear? Omg, it's the troll! Lol! How did you do that?	Oh hell no, she is not getting away.	I think.	Believe me it'll be more work than cuddles.	Every time someone brings up her name I feel sick and angry.	Shoulder to shoulder.	“It'll be okay, I promise. Mommy misses you too and she's coming back soon.”	“What's the matter? Didn't you say you wanted to go? And now you're acting all weird.” I'm staring at the floor. He knows exactly what happened. I tried to explain as usual. He turned it into my own fault, as usual. Words are pointless. Making an effort is pointless. I'm staring at the floor but I'm floating above the roof.	Again, again	I let my shoulders relax to a lower position.	They're relying on others to make the calls while they don't care about the accuracy.	There is literally nowhere else I want to be.	The bark is cold and rough against my ear.	The best thing about this mall is the cocktail bar.	I didn't know that was possible.	I need a hand to hold.	I told him exactly what happened. I went to disneyland.	 	 	 	 
If his behaviour is this irrational I obviously cannot trust him.	Let's do this. So the plan is: sprint ‘til we die. Is that it? Lol, I guess that's all we need!	I slam the car door behind me as I almost run towards her with heavy determined feet.	Have you told your mom?	What's the use?	It's not intimidation.	I forget to pay attention so I'd know when I'm supposed to laugh.	This is the kind of crying that comes from a deep, inconsolable place of loss.	“Are you okay?” I look up. I'm not able to make a connection between the sound of, what might have been, a voice and the origin of it. An old, bearded man. His lips are moving. It makes the long, gray beard move too. I look out of the window. The sound of the train gets louder.	I am exhausted	My breathing shifts from my lungs to my stomach.	Just look into something on your own!	I give her some space but make sure that she can still see me.	I can feel every peck on my skin.	The only right way to do christmas shopping is in the middle of the day while tipsy.	I am going to change that.	My own presence isn't enough.	I am spending more time at school than I have to because I don't want to come home to this any longer.	 	 	 	 
What else has he stolen?	All the movement in my head has slowly moved down to my gut. It's creating sparks. Spreading to all my limbs. Making them move with purpose.	He was sitting close enough for me to put my face right in front of his.	Are you really sure you're going?	It's going to be loud.	It's more a sense of … not being recognized.	And each one of them brings a unique message to the part of me that still remembers what purpose feels like.	It doesn't matter what I do.	The easy togetherness is gone, each of us lost to our individual confusion.	The blur of faces	Success.	Anything!	God, sometimes I want to squeeze her so hard I'm scared it would hurt her. I can't help it.	I don't say anything.	Which is why I am on my third bar break.	That's the kind of person I want to be.	I need you to keep me from scattering.	We need a change.	 	 	 	 
I reevaluate our whole relationship.	I didn't think he'd actually fall!	I hissed “if that's the case then that's not your fucking problem, is it?”	I am not coming with you.	The food is usually not even that good.	Sure, she's skilled at what she's doing but just because she was on TV doesn't mean she's the best.	Of course I don't regret anything. How could I possibly regret any of it giving the result? I don't think that anyone should ever have to go through something like that. It shouldn't be necessary to be able to get to this point. But to lose all of this in order to get rid of those traumas? It's like that kind of thinking doesn't work once you're on the other side of it.	I am not the right person.	“My assistant can schedule a time for us to talk,” he wrote. I'm furious. Insulted. Hurt. Then just sad. He was the best man at my wedding. How can he act like I'm a project to be managed? I'm stinging, wanting to hit him back. Make him feel as bad as I do. But, you can't make someone want to be your friend. You can't guilt them into it. Nothing to do but forget.	Can't fall asleep, can't wake up	My body follows my mind and my mind follows my body.	What a waste of minds.	The way he sneezes. It's like his soul tickles me.	I don't feel like I should say anything	A lovely, dangerous game.	I still find more of my inner strength whenever I think of him.	Every time I tried I could hear my voice tremble.	We need a serious change.	 	 	 	 
Each action that I previously saw at the border of distrust and understanding is now clearly on the distrust side.	I put out my foot in front of him, next thing I knew all I could see was the sole of his feet sticking out of the next room.	I sat back down and turned away from him.	Too much drama.	If I stay home I can at least eat my boring food in silence.	They have no idea what I have accomplished.	Of course I don't regret anything.	Eventually I start crying too.	He said he didn't believe in monogamous relationships anymore. I knew he had met someone else. The hurt of him wanting another person didn't come close to the hurt of him continuing to tell me he loved me. As long as he kept saying that I couldn't leave. But he was long gone.	Dozing off with coffee in hand	Why do we even call it by two different names?	But any idiot can accidentally become a parent without knowing anything about love.	Whenever he's away I don't clean the house. I like finding his hair everywhere. It's like the space contains his presence still.	We just sit there.	Lots of christmas gifts for everyone this year.	There was nothing we were afraid of.	I had to take long pauses.	I am affected by it too and it is making me feel even worse when you talk to me like this.	 	 	 	 
He has been lying about everything this whole time.	I was laughing so hard I ended up lying down on the floor next to him.	With clenched teeth I tried to pretend he wasn't there.	Are we bringing dates?	I keep going to bed thinking maybe tomorrow will be better.	How could they?	How could I possibly regret any of it giving the result?	This is not how it should be handled but I am not capable.	“My assistant can schedule a time for us to talk,” he wrote. I'm furious. Insulted. Hurt. Then just sad.	I stole a car. It started as a joke with my friend, then it was a dare.	Every morning when I came out to check on my bunny Rosa she was hanging out with the same pheasant.	Most people can learn, but others are simply not worthy.	It's been six hours. There's no wifi on the flight. I wonder if she's already there. I know she doesn't like public displays of affection. Will she get upset if I can't contain myself? This flight is taking forever!	There is nothing but love in his eyes.	You know what? Go ahead!	It was a constant contest to prove we each had more in us than the other.	It only helped for the moment.	“You're such a dreamer.” He laughed. I knew that was the moment it was over. I didn't know that I could move the world but I knew I if I did it would be because I believed I could.	 	 	 	 
Why in the world would my mind make up something like that?	My hands are empty!	Eventually he gave up and left but my jaw didn't relax until much later.	Gaahh, why are you doing this to me?	I wake up counting the hours until I can go back to sleep.	I wish I had the time and money.	But to lose all of this in order to get rid of those traumas?	While I have no choice but to wait, my classmates finish their meals and leave for the bus.	How can he act like I'm a project to be managed?	He was confused and I just acted like it was normal and he went along with it.	I imagined them exchanging life experiences.	Some people should not be allowed to have kids.	Je ne comprends pas, mais je sais et j'ai confiance que tu as tes raisons. Je serai toujours là.	I sense each punch as soon as she starts throwing them.	The consequences don't scare me.	The world is ours. We can't die. What could go wrong?	I tried to pretend that everything was fine but I think they all noticed.	All I've ever wanted is more. In every direction, as much as I can, at all times, to the further extent possible. I want what is hard. That feeling of pressing on not knowing if it's attainable. Only knowing that I have to keep trying.	 	 	 	 
Am I the one needing reevaluation?	Wait a second … what's that behind your ear?	I am not enjoying this. They are definitely not enjoying this.	I really thought the cool breeze of the ocean would help clear my mind.	I stare at my phone until I can't anymore.	I wish I was one of them.	I'm filled with a strong but pleasant white light. It knocks out all my outer senses while my inner senses are having orgasms.	I'm not worth waiting for.	I'm stinging, wanting to hit him back.	Can you play some music? I asked to distract him.	Sharing a deep connection.	She's fake.	Il n'y a littéralement nulle part ailleurs où je veux être.	J'entends un pic-vert. J'essaie de localiser l'oiseau à travers le son de picorage. Il est là. L'arbre sur lequel il est assis n'est qu'à quelques pieds. Je m'approche et pose mon oreille contre le tronc. L'écorce est froide et rugueuse contre mon oreille. Je peux sentir chaque coup sur ma peau. Le son du picorage est beaucoup plus profond à travers le tronc.	You don't scare me.	I just open my mouth and let it come out. I'm witnessing along with everyone else.	We're on a long walk again. But it's not the same. That feeling of possibility around each turn is gone. I think of the moment when I broke it, his face falling as the film scene we'd been dreamily inhabiting faded into reality. We're still here, maybe even more grounded in a love for each other. But the love can never again be the giddy, electric, surprising kind.	I'm on the last 1600 and I feel my brain starting to resist. It fills me with doubt. What's the point? But I trained for this exact confrontation. I'm ready for it. This is the moment to override the voice. I can keep going. There is no stopping. I want this. I kick out a 200 meter sprint. I feel my thoughts retreat, along with my opponents. I've beaten them. Pounding on in a high of pain and ecstasy to the finish.	 	 	 	 
If anyone asks me what I think about it they'll immediately realize that I have no idea what I'm talking about.	Omg, it's the troll!	There is a very simple solution to all of it. But it is out of my reach.	Leave only the important parts.	A run that turns into a walk.	I wish I had deadlines to complain about.	Ce matin, j'ai fait tomber le pot de café moulu. Il s'est répandu partout sur le sol de la cuisine. C'était avant même que j'aie eu la chance de charger la machine à café. Ça m'a fait rire aux éclats. Ça ne m'a pas dérangé du tout. C'était comme être frappé au visage sans ressentir de douleur. Seule la surprise était restée. Je dois être dans un très bon moment de ma vie en ce moment.	I don't finish my food.	I want to make him feel as bad as I do.	I will do anything you want.	So I would reluctantly cause the pheasant to flee their ceremony.	They think she wants to help but I see right through her.	Je lui laisse de l'espace, mais je m'assure qu'elle peut toujours me voir.	Je ne dis rien. Je n'ai pas l'impression de devoir dire quelque chose même si elle est silencieuse depuis un moment maintenant. Elle semble légèrement troublée mais je sens qu'elle est à l'aise. Je mets ma main sur la sienne. Elle fait un signe de tête et soupire. Nous restons là. Je me sens si proche d'elle.	Oops! Oh, well.	They lose control over their faces as they watch stunned.	That smell of cold leaves always takes me back to Boston. I feel the wind crawling up my skirt. I feel so grounded, so sure of myself here. And the itching to throw that feeling away. You can be so close to someone one day and gone the next. Could I stay in place if I were less reckless, more content? Or is everything always slipping away?	I know some people need deadlines, but for me, they've never been more than an administrative detail. My expectations for myself far outpace any requirement others can set. There's nothing better than the feeling of making a todo list. My mind is focused. Each task laid out in front of me, it's just a matter of returning again and again. Someone once told me that procrastination was really an emotional management problem. So I developed tricks for shifting my emotions when I see myself put off one an item on my list.	 	 	 	 
They'll start wondering why I was even allowed to be here in the first place.	Lol!	Right now there is chaos that I am not responsible for but that I have to answer for.	It didn't.	I take a shower that turns into laying in my towel on my bed for two hours.	But some people live in huge houses with loving families.	Son dernier souhait était de décéder dans la maison qu'il avait construite pour sa famille cinquante ans plus tôt. Il n'avait besoin d'aucun tube et sa femme était infirmière à l'époque, alors ils nous ont laissés le ramener à la maison. Il aurait pu rendre son dernier souffle depuis un lit d'hôpital, mais nous avons pu le ramener à la maison. Il a rendu son dernier souffle en regardant les mêmes champs qu'il contemplait lorsqu'il était un petit garçon qui gambadait.	I don't go on the field trip.	But you can't make someone want to be your friend.	J'ai volé une voiture. Cela a commencé comme une blague avec mon ami, puis c'était un défi. Je ne suis pas un casse-cou. Je ne sais pas pourquoi je l'ai fait, c'est comme si j'avais sauté le moment où j'ai décidé si c'était une bonne ou une mauvaise idée, et soudain je le faisais juste. J'ai volé les clés de mon professeur sur son bureau quand il était à l'arrière de la salle. Je devais rentrer à la maison en bus avec mon frère, et quand il m'a rejoint, j'ai juste dit viens, et il m'a suivi jusqu'au parking, j'ai vu la voiture, et nous sommes montés dedans. Il était confus et je faisais juste comme si c'était normal, et il a suivi. Peux-tu mettre de la musique ? J'ai demandé pour le distraire.	But he was always back the next morning.	I'm telling you, she doesn't.	Elle avait toujours voulu une voiture télécommandée depuis que nous étions enfants. Je ne sais pas pourquoi nos parents ne lui en ont jamais offert une. Ou pourquoi elle ne s'en est pas acheté une elle-même quand nous avons grandi. Elle en parle encore de temps en temps. Je l'ai surprise un mercredi après le travail. Juste un jour normal comme un autre. Elle a été surprise de me voir, de manière confuse et légèrement heureuse. Le regard sur son visage quand elle a ouvert le cadeau… Ça me réchauffe encore d'y penser. Elle mérite de toujours se sentir ainsi.	Mon cou me fait mal à cause de ma posture mais je l'ai accepté. Dans cette position, il peut atteindre ma joue par-dessus les barres du lit d'hôpital. Sa main est fragile et chaude. Il n'est presque plus dans son corps, mais il me regarde dans les yeux comme s'il pouvait voir tout ce que je suis pour la première fois. Il n'y a rien d'autre que de l'amour dans ses yeux.	Lol!	I feel a flash of power. I do it again. What will they do?	We are seven, putting on a puppet show, when suddenly I notice our playing doesn't make sense anymore. What happened to the stories we used to make believe? When did it get so hard? It used to just flow. Now there are all these questions and negotiations. I'm looking around me but now everything is looking back. The easy togetherness is gone, each of us lost to our individual confusion.	“You're such a dreamer.” He laughed. I knew that was the moment it was over.	 	 	 	 
During the introductions she gave me a look that said “How predictable. Not capable of forming thoughts with any kind of substance.”	How did you do that?	It shouldn't be like this!	Sigh.	I log on, I blink into existence, I blink out. Nothing matters. Nobody exists.	Some of us are stuck in small apartments.	Je n'avais pas eu de ses nouvelles depuis trois jours. Je savais que les bombardements étaient assez inhabituels, mais ils se produisaient dans la région. Bien sûr, les bombes étaient la seule chose à laquelle je pouvais penser. Quand il a enfin appelé d'un numéro inconnu, entendre sa voix joyeuse a presque semblé être moqué. Comme c'est incroyablement doux d'être moqué par cette voix.	It feels like I'm not sure I exist.	Nothing to do but forget.	Je veux être une commande sur mesure. Livrée à votre porte d'entrée. Je ferai tout ce que vous voulez.	Cet homme en Chine a réalisé qu'il avait un couteau planté dans son cerveau depuis quatre ans.	I don't care how nice she seems.	La façon dont elle inspire par à-coups. La même façon qu'elle a quand elle a cessé de pleurer. Je veux caresser sa joue et son front, mais j'ai peur de la réveiller. Je mets le bout de mon doigt dans sa petite paume potelée et je caresse le dos de sa main avec mon pouce. Je ne laisserai jamais rien te faire de mal. Je te protégerai toujours.	Je ressens chaque coup dès qu'elle commence à les lancer. Elle pompe légèrement de la main gauche. J'attrape le jab entrant. Je lance un contre-jab avant qu'elle ne bouge. Ça touche. Je bouge ma tête. Elle hésite. Je feinte un jab. Ses mains montent. Je change de niveau et je tire. Une bosse sur mon épaule au moment du contact. Une deuxième bosse au moment où nous touchons le sol.	If they do I'll handle it when it happens.	Nobody seems to be able to stop me. Least of all me.	We're on a long walk again. But it's not the same.	I didn't know that I could move the world but I knew I if I did it would be because I believed I could.	 	 	 	 
Why did they accept me if I don't belong here?	Let's do this.	I hissed “if that's the case then that's not your fucking problem, is it?” 	What do I do?	I didn't know the daylight could feel so dark. Dark is too passionate of a word. It's just gray in every direction.	With passive aggressive roommates and their leaching partners.	Je me souviens de ce que ça faisait d'avoir des nœuds dans ma poitrine. Je remarque la sensation de leur absence. Cela rend la respiration facile. Il n'y a pas d'ombres ici où quelque chose pourrait se cacher. Tout est uniformément éclairé. Le négatif flotte comme des ombres transparentes, rendant le positif beaucoup plus clair.	We're slowly sinking.	He said he didn't believe in monogamous relationships anymore. I knew he had met someone else.	Je suis fatigué. Je n'ai pas besoin de complications supplémentaires dans ma relation. Nous ne voulions pas d'enfants. Nous ne voulions même pas d'animaux de compagnie.	Une zone de mon esprit se fissure et révèle un espace baigné d'une lumière blanche scintillante. Il y a une envie d'entrer dans cet espace et de voir où cela mène. D'ici, je ne peux pas voir l'horizon.	I know the kind.	Je ne connais pas cette personne. Je ne l'ai jamais vue avant. Ses yeux sont fatigués, tristes et aimants en même temps. Comme s'il avait accepté la situation de sa vie. Ça ne s'améliorera pas, mais il ne se plaint pas tant qu'il aide. Il est assis devant moi et lorsque le métro secoue, il en fait de même. J'aimerais qu'il soit debout pour que je puisse lui offrir ma place. J'espère qu'il rentre chez lui auprès de quelqu'un qui l'aime et prend soin de lui.	Le son d'un feu de camp	What if this and what if that.	Quand nous nous sommes rencontrés, nous étions jeunes. Il n'y avait rien dont nous avions peur. C'était un concours constant pour prouver que chacun de nous avait plus en lui que l'autre. Le monde est à nous. Nous ne pouvons pas mourir. Que pourrait-il arriver ?	That feeling of possibility around each turn is gone.	All I've ever wanted is more.	 	 	 	 
Maybe they always do that to one person. As a game.	So the plan is: sprint ‘til we die.	I am not enjoying this. They are definitely not enjoying this. Hellooooo! I sat back down and turned away from him.	Maybe I'll join them for a little bit.	I keep living because I don't want to hurt the people around me. I'm already contributing nothing, no point making it worse.	Goddamnit I could kill the next person posting a picture of their beautiful backyard.	Remarquer l'absence d'une cause ou d'une conséquence négative là où il aurait très bien pu y en avoir.	He's too heavy.	The hurt of him wanting another person didn't come close to the hurt of him continuing to tell me he loved me.	Je savais que ce serait trop pour moi, pour nous, à gérer. J'ai assez à faire avec toute ma famille. J'ai besoin de beaucoup d'espace. Je suis occupé. Je n'ai jamais voulu penser aux bébés. Je suis épuisé.	Elle semble soulagée. Cela doit être depuis qu'elle a appris à marcher. Je serais soulagée aussi. Tout à coup, elle n'a plus besoin de compter sur nous pour tout lui apporter. Chaque fois qu'elle marche quelque part, ses bras sont levés vers le ciel et elle émet un son entre un cri de joie et des gloussements.	He thinks his title means he knows what he's doing.	Une sensation chaleureuse et calme dans ma poitrine. Une lumière douce d'orange et de rose peu saturé. La lumière répond à ton bonheur par une pulsation lente. Plus je sens que tu es en sécurité et heureux, plus la lueur chaleureuse se propage au reste de mon corps.	Le son du vent dans une forêt	What if nothing?	J'ouvre simplement la bouche et laisse les mots sortir. J'assiste avec tout le monde. Ils perdent le contrôle de leur visage en regardant, stupéfaits. Je ressens un éclair de pouvoir. Je le refais. Que vont-ils faire ? Personne ne semble pouvoir m'arrêter. Moi le moins.	I think of the moment when I broke it, his face falling as the film scene we'd been dreamily inhabiting faded into reality.	In every direction, as much as I can, at all times, to the further extent possible. I want what is hard.	 	 	 	 
All of a sudden he starts crossing the street. He is aiming for me.	Lol, I guess that's all we need!	Eventually he gave up and left but my jaw didn't relax until much later. It shouldn't be like this! Oh my god!	Or I could tell them I'm not feeling well.	I'm not gonna do it. It just feels good to google. At least it feels like something.	All I ever wanted was a my little pony.	Remarquer la présence d'une cause ou d'une conséquence positive là où il n'y en avait pas.	I'm too weak.	As long as he kept saying that I couldn't leave. But he was long gone.	Pourquoi c'est toujours sur moi ? Combien de fois dois-je le dire ? Il y a tellement de travail à faire, et pendant que je le fais, c'est juste une résistance constante. Les parties les plus profondes de leur ego réagissent inconsciemment et les attaques deviennent personnelles. Comment peuvent-ils me demander ça ? J'en ai tellement marre d'essayer. De me sentir si complètement inefficace.	Ce n'est pas tellement ce qu'il dit. C'est son énergie. Quelque chose à propos de baguettes ? Je ne suis pas sûre des mots. Je suis enveloppé par ses mouvements. Ses doigts se sont transportés à l'époque réelle de quand cela s'est produit. Ils prouvent la relativité de tout. Il n'est pas nécessaire d'espérer qu'il ne s'arrêtera pas car ce n'est tout simplement pas une continuation réaliste.	Anyone could do his job.	Le regard sur son visage quand elle a ouvert le cadeau… Ça me réchauffe encore d'y penser.	L'odeur de la pluie sur le pavé	What if the apocalypse gets here before the end of the day?	Je pensais vraiment apprendre des compétences réelles de cette conversation. Mais il s'est avéré que la plupart de ce qu'ils ont pu accomplir a été fait par pure chance. Les choses se sont simplement alignées au fur et à mesure qu'elles avançaient. Je n'ai pas réellement besoin d'un plan ! Je peux juste commencer avec ce que j'ai maintenant. Et le reste va... Je ne sais pas, mais j'ai hâte de voir où je vais aboutir !	We're still here, but the love can never again be the giddy, electric, surprising kind.	That feeling of pressing on not knowing if it's attainable. Only knowing that I have to keep trying.	 	 	 	 
He is going to push me down the slope.	I am consumed with everything.	Stop it. You cannot leave every time something makes you feel uncomfortable. You think you are protecting the both of us but you are making the gap between us bigger and bigger. The more you run away the further we get from being able to fix it. You need to stop right now. Or I will start hating you and everything will be lost forever.	I am standing at the intersection of two different realities.	I try to remember what enjoying things felt like but it's just a desolate blank.	At this time I didn't know it was possible to dislike someone just because they had something I didn't.	On ne peut être vraiment reconnaissant que si l'on comprend ce qui aurait pu être à la place.	I have no idea where to go once we get there.	Le doux vent apporte un son déformé de bavardages provenant de la cabane en haut de la colline.	Le flou de visages, les barrières linguistiques, ne peut pas s'endormir, ne peut pas se réveiller, somnoler avec une tasse de café à la main. La panique épuisée se réveille dans l'obscurité, marche hâtive à 5 heures du matin jusqu'au bus, le train, la sécurité, le vol, l'escale, le deuxième vol, la douane, le train, septième étage sans ascenseur. Je suis allongé par terre.	Est-ce que je fuis quelque chose ? On dirait que je devrais être plus blessé que je ne le suis. Je regarde où la douleur devrait être. Il y a un mur stable. Est-il stable à cause d'un déni fort ou à cause d'un profond respect de soi ? Cela nécessite une enquête plus approfondie.	I did way better than anyone in my class.	Elle mérite de toujours se sentir ainsi.	L'odeur de l'océan	It makes sense when I see it from his perspective. He is protecting himself and it has nothing to do with me. It feels good to know that I couldn't have changed anything. I wish I could help, but it is okay that I can't.	Quand mon père a réalisé que tous ses voisins avaient déménagé dans un meilleur quartier, il était content pour eux. Même s'il avait oublié de payer sa part de la mise de jeu et avait été exclu des gains. Il était vraiment heureux pour eux. C'est le genre de personne que je veux être.	That smell of cold leaves always takes me back to Boston. I feel the wind crawling up my skirt.	But I trained for this exact confrontation. I'm ready for it.	 	 	 	 
In shelter of the bushes he is going to rape me.	I am nearly manic.	I don't care about your opinions. We are getting nowhere. You think you have chosen the right side but every side is the wrong side. There are no winners. Your actions are disconnected from your true beliefs. I don't know how to fix anything or if it's even possible. But don't you dare bring up your opinions again. They bring nothing but the unveiling of your ego.	Would it be disrespectful to the universe if I flip a coin?	I'll do whatever you tell me to. If I can find the energy.	I didn't feel happy for her either.	Je dois être dans un très bon moment de ma vie en ce moment.	I have no money.	Ils n'ont même pas remarqué que je suis parti.	Essayer sans effet	Chaque fois que j'essaie de percer la tomate cocktail avec ma fourchette, elle glisse. Je prends une grande inspiration. Laisse mes épaules se détendre vers une position plus basse. Ma respiration passe de mes poumons à mon estomac. J'expire en poussant la fourchette à travers la tomate. Réussite. Mon corps suit mon esprit et mon esprit suit mon corps. Pourquoi l'appelons-nous même par deux noms différents ?	I don't know why they were struggling.	Je ne laisserai jamais rien te faire de mal.	Le contact d'une brise fraîche	Today I finished three out of five tasks on my list. The list was too long. It would have been enough with two. Three made me too tired to enjoy the day. But it did make me feel more accomplished than two would have. Perhaps there is a sweet spot between expectations and capabilities. Or perhaps finding that sweet spot is an impossible task. I did my best. If it feels like it wasn't enough, it is my own making.	Toutes ces règles. Je n'étais pas vraiment conscient qu'elles existaient. Encore moins que je vivais ma vie selon elles. Quand j'ai vu ce qu'elle avait fait, j'étais émerveillé. Une toute nouvelle façon de penser. Je peux faire ça aussi ! Je peux ignorer ce que l'on m'a enseigné. Je peux le faire à ma manière.	I feel so grounded, so sure of myself here. And the itching to throw that feeling away.	This is the moment to override the voice. I can keep going. There is no stopping. I want this.	 	 	 	 
