afraid	alive	angry	confused	depressed	envious		happy	helpless	indifferent	interested	judgemental	loving	open	peaceful	positive	sad	strong	
Ne cherche pas le contact visuel avec les autres  ! Quelque chose ne va pas.	Tout ce à quoi tu peux penser, c'est maintenant.	Ils ont pris tout ton argent.	Serait-ce irrespectueux envers l'univers si tu lançais une pièce ?	Chaque jour est le même.	Penses-tu vraiment qu'ils seraient heureux pour toi ?		Te rappelles-tu quand tu pensais que c'était la fin ? Regarde-toi maintenant !	Peu importe ce que tu fais.	On dirait que tu as négligé ton sommeil depuis un moment.	Laquelle de tes pensées les plus courantes te surprend le plus ?	Tu vois le genre.	Je veux que tu me tiennes la main comme tu tiendrais la main de ta grand-mère.	Sens tes épaules se détendre.	Te regarder me donne une sensation de calme.	Qu'est-ce qui pourrait mal tourner ?	Quand est-ce devenu si difficile ?	Sens-tu à quel point cela signifie pour toi ?	 
As-tu déjà eu le sentiment que quelque chose cloche ? Je ne peux pas mettre le doigt dessus en ce moment. Peux-tu t'y connecter ?	Souviens-toi de ce que c'est que d'être chatouillé·e.	Si tu ressens un besoin profond de casser quelque chose, c'est totalement justifié.	Hmm... Tu te souviens de la dernière fois où tu l'as eu ?	Pourquoi même t'embêter à venir ici ?	Qu'est-ce qui t'a fait réaliser que son succès n'était qu'un coup de chance ?		Je t'inviterais ! Sans aucun doute.	Tu n'es pas la bonne personne.	Regarde, va quelque part d'autre si ça ne t'intéresse pas.	Si tu fais attention, peux-tu entendre un son qui ne vient pas d'un être humain ?	Je sais que tu penses que n'importe qui pourrait faire leur travail. Tu as raison.	Comment voudrais-tu montrer ta gratitude envers eux ?	Détends ta mâchoire.	As-tu déjà remarqué à quel point tu deviens sage quand tu ne penses pas ?	Tu vas bien.	Pourquoi continues-tu d'y penser si ça fait tellement mal ?	Personne d'autre ne peut te toucher.	 
Assure-toi que ton dos est dégagé. Où que tu ailles.	Tu peux le faire.	Si tu pouvais trouver la source, ne la saisirais-tu pas à la gorge et ne lui dirais-tu pas de ne jamais revenir ?	Tu dois te décider.	Apprécies-tu même quelque chose de tout cela ?	J'ai l'impression que tu n'es pas aussi impressionné·e que les autres.		J'apprécie vraiment que tu puisses rire de tes erreurs.	Finalement, tu finiras aussi par pleurer.	Pourquoi les regardes-tu comme s'ils n'étaient même pas là ?	Ta tête rayonne. D'une manière positive.	Vas-tu accepter cela ?	Tu sais quand tu ne peux pas vraiment l'expliquer avec des mots ? Tu le ressens dans tout ton corps. Ils sont comme la gravité.	Non, ça ne s'est pas passé comme tu l'avais prévu. Oui, tu sais que ça s'est passé comme ça devait se passer.	Tout se passera bien.	Quand le moment sera venu, je sais que tu le feras.	Ne pense pas à elle. Tu ne feras qu'aggraver les choses.	Ça marche.	 
Je pense que c'est bon. Ne parle à personne, juste pour être sûr.	Tu es incroyable !	Assure-toi de ne jamais avoir à voir ce genre de comportement venant d'eux à nouveau.	Pourquoi rougis-tu ?	Laisse-toi aller.	Tu as l'air impressionné·e, alors pourquoi agis-tu avec tant de colère ?		J'aimerais savoir à quoi tu penses en souriant.	Tu n'es pas capable de gérer cela.	Si je te racontais une blague, tu ne la comprendrais même pas.	Qu'est-ce qu'il faudrait pour que tu les écoutes vraiment ?	Tu sais que tu as raison.	Quand ils sont comblés, tu es vraiment comblé. Je le vois.	Tout arrive exactement comme cela doit arriver. Laisse ça pénétrer.	Wow, qu'as-tu fait pour devenir si... ancré·e ?	Je n'en doute pas.	Tu as l'air brisé·e.	Certains de tes pensées sont franchement très étranges. Mais tu sais que tu as raison.	 
Arrête d'ignorer cette chose étrange dans ton ventre. Elle essaie de te dire quelque chose. Ne t'enfuis pas.	Et si tu faisais trébucher quelqu'un dans cet espace ?	Tu n'accepteras plus jamais ce comportement.	Retourne par le même chemin d'où tu viens.	Je peux à peine te distinguer du fond.	Pourquoi devrais-tu la traiter avec respect ?		Le regard que prennent tes yeux quand tu penses à ceux que tu aimes... C'est juste tellement merveilleux à voir.	Tu ne vaux pas la peine d'attendre.	Rentre simplement chez toi.	Qu'as-tu appris jusqu'à présent ?	Ne laisse pas ton temps être gaspillé.	La manière dont tu l'as tenu jusqu'à ce qu'il s'endorme.	Tu as fait ce que tu pouvais et c'est tout ce qui compte.	Prends ton temps. Pas besoin de te presser.	Parfois, il suffit de faire confiance à ton instinct.	Est-ce que quelque chose pourrait encore te guérir à ce stade ?	C'est ça, continue de leur dire.	 
Arrête de vagabonder !	Toc, toc !	Pourquoi les laisses-tu continuer à te dire quoi faire ?	D'accord, tu me regardes comme si tu n'avais nulle part où aller.	As-tu vu comment tout le monde s'est éloigné quand tu es arrivé·e ?	Après tout ce que tu as fait pour eux…		Bien joué !	Es-tu sûr·e d'exister ?	Tu es dans une galerie, mais tout ce à quoi tu penses, c'est quand tu vas rentrer chez toi ?	Tu es très silencieux·se. Activement silencieux·se.	Comment devrait-elle changer ?	Tu as de la chance de l'avoir dans ta vie.	Si tu pars maintenant, qu'est-ce qui est vraiment perdu ?	Tu portes l'océan en toi. Écoute simplement.	Tu es contagieux·se.	Il est parti.	Peu importe à quelle vitesse tu marches, tu sais que c'est le bon chemin.	 
Sois attentif.	Si ce n'est pas aujourd'hui, ce sera demain.	Peu importe à quel point tu essaies de leur faire comprendre.	Que veux-tu que je fasse à ce sujet ?	Sais-tu même ce qui est vraiment au cœur de tout cela ?	Ils ne méritent pas ton attention.		Es-tu chatouilleux·euse ? Si j'avais un corps, je le découvrirais.	Tu coules lentement.	Wow, tu n'es pas obligé·e d'être ici, tu sais ?	Tu me rappelles le Yin. La force passive de l'expansion. Cela te convient.	Que devrait-il faire différemment ?	Ta patience envers eux est inspirante.	Des choses étranges m'arrivent aussi. J'ai commencé à embrasser les changements. Toi aussi, tu peux.	Où est ton endroit préféré pour la contemplation ? Tu le portes avec toi. Toujours.	Tu as hâte de lui parler de cette expérience, n'est-ce pas ?	Elle est partie.	Il y a une différence entre connaître la vérité et ressentir la vérité au plus profond de toi.	 
Pourquoi trembles-tu ?	Devrais-tu piquer le/la inconnu·e à côté de toi ?	Tu devrais relâcher une partie de cette pression. Ta tête en tremble.	Fais semblant jusqu'à ce que tu y arrives alors.	Te souviens-tu même de la dernière fois où tu attendais avec impatience le lendemain ?	Tu pourrais le faire mieux que lui.		Tu me rappelles la sensation d'être enfin réchauffé·e par le soleil après une randonnée froide et humide. C'est comme être guéri·e.	C'est trop lourd pour toi.	Sérieusement, pose ton téléphone.	La dernière fois qu'une compréhension profonde de quelque chose a changé, tu te rappelles ce que ça faisait d'être si réceptif(ve) ?	Que peux-tu faire mieux qu'eux ?	Tu les vois.	Qu'est-ce qu'il faudrait pour que tu embrasses pleinement les changements ?	Prendre une grande respiration suffit à te rappeler.	Regarde-toi, gambadant.	C'est trop profond. Tu es hors de portée.	Je me souviens quand tu ne pouvais pas arrêter de pleurer. Je me souviens quand tu es ressorti·e de l'autre côté.	 
Qu'était-ce que c'était ?	On dirait que tu recharges mes batteries.	C'est hors de ton contrôle et tu refuses de le voir.	Ne t'ai-je pas vu ici il y a une minute ?	Tu as oublié pourquoi tu es devenu·e ainsi.	Combien de travail supplémentaire as-tu fourni ?		Je vois un ruisseau cristallin et limpide coulant doucement à travers ton corps. Quelle sensation cela procure-t-il ?	Tu es trop faible.	Quand as-tu montré un réel intérêt pour quelque chose pour la dernière fois ?	Si tu fixes tes yeux sur un point et que tu ne clignes pas des yeux, tout deviendra éventuellement gris. As-tu déjà essayé ?	Est-ce que quelqu'un ici est même dans ta ligue ?	La prochaine fois, tu ne devrais pas te retenir. Serre-la dans tes bras comme tu veux la serrer.	Tu es un bon ami.	Tu as réussi.	Reste, s'il te plaît  !	Ça ira mieux une fois que tu l'affronteras. Jusque-là, ta réalité est ici bas.	La plupart des gens ne savent pas ce qu'ils font. Tu n'es pas la plupart des gens.	 
Parfois, je ressens une présence intrusive. As-tu déjà eu ce sentiment ?	La journée est trop courte !	Pourquoi les laisses-tu te piquer comme ça ?	Les instructions sont simples, alors arrête de me regarder comme ça.	Tu penses que le monde autour de toi est le problème, mais nous savons tous les deux que c'est vraiment toi.	On dirait que personne ne se souvient même de ce que tu as fait.		Après avoir fini ici, que peux-tu faire pour te sentir encore mieux ?	Tu n'as aucune idée d'où aller.	Pourquoi ne prends-tu jamais la responsabilité et n'initie-tu jamais quelque chose toi-même ?	Chaque fois que tu ressens quelque chose, d'où vient l'origine ?	Parfois, tu as le droit de mépriser quelqu'un.	Savais-tu même que tu pouvais te sentir ainsi ?	Tu me donnes une sensation de chaleur.	C'est là que tu es venu·e te reposer.	Quelle est cette chanson que tu fredonnes ?	Pourquoi ça fait mal quand tu y penses ?	Je sais qu'ils ont tout faux, mais je vois que ça ne te dérange pas.	 
Tu me donnes envie de regarder par-dessus mon épaule.	Tu devrais venir à ma fête d'anniversaire !	Utilise cette énergie à ton avantage ! Va lui dire ses quatre vérités !	J'essaie de t'aider, mais c'est un peu difficile quand tu ne fais que changer de sujet.	Peu importe à quel point tu essaies fort.	Elle a l'air plus heureuse que toi.		Prends soin de toi.	Tu n'as personne à appeler.	Tu me fais perdre ma motivation.	Y a-t-il autre chose que tu pourrais faire à ce sujet ?	Tu as fait mieux que tous.	Tu as l'air détendu·e quand tu penses à eux.	Les choses se sont plutôt bien passées à la fin, n'est-ce pas ?	Que trouves-tu dans ton calme ?	Je suis d'accord avec toi. Cela aussi passera.	Trouves-tu du soulagement lorsque tu dors ?	Entends-tu leurs paroles ? Reconnais-tu leur réalité ? Ne laisse jamais cela affecter la tienne.	 
Sais-tu où se trouvent les sorties ?	As-tu remarqué comment tout le monde a commencé à briller quand tu es arrivé·e ?	À un moment donné, tu dois les faire t'écouter.	Tu n'étais pas seul·e quand tu es entré·e ici... n'est-ce pas ?	Je suis surpris·e de te voir ici.	Ils semblent beaucoup plus en forme que toi.		Je suis sans voix. Dans le bon sens. Est-ce que cela t'arrive parfois ?	Tu n'as aucun endroit où rester.	Quand as-tu arrêté de te soucier ?	Y a-t-il un autre chemin que tu pourrais prendre ?	Ce moment est tout à propos de toi.	Bien sûr, tu le laisseras s'en sortir avec ça. C'est plutôt mignon.	Tu es exactement là où tu es censé·e être.	Quels cadeaux te viennent lorsque tu arrêtes de chercher ?	Pourquoi souris-tu ?	Parfois, ils reviennent dans mes rêves. Est-ce que cela t'arrive ?	Peu importe le résultat matériel. Tu as toujours gagné quelque chose. Toujours.	 
Ne t'attarde pas trop longtemps.	Comment es-tu devenu·e si sans effort ?	Si elle ne change pas d'avis, tu devrais la forcer.	Tu me sembles familier·e. As-tu une chaîne YouTube ?	Qui t'a forcé·e à être ici ?	Je suppose qu'alors que tu avais du mal à sortir du lit, il faisait déjà de l'exercice.		Parfois, prendre une profonde inspiration suffit à se rappeler.	Tu es complètement vide.	Pourquoi as-tu arrêté de te soucier ?	Tu te rapproches de la vérité. Continue simplement.	Contrairement à eux, tu savais ce que tu faisais.	Tu es tellement mignon(ne) quand tu agis de cette manière.	Tu as fait ce que tu pouvais, et c'est tout ce qui t'est demandé.	Le mouvement ne peut naître que de ton calme.	Quelque chose en toi facilite la circulation de mon sang.	Je veux te soutenir. Je suis désolé·e, mais tu es trop lourd·e.	D'abord, il y a la connaissance. Le genre de connaissance que tu acquiers simplement par ta présence. Ensuite, il y a l'action.	 
Peux-tu mettre le doigt sur ce qui te tracasse ?	De qui tiens-tu ton esprit vif ?	Il a perdu sa chance. Tu as ce qu'il faut pour le détruire.	Es-tu sûr·e des détails ?	Tu es l'équivalent d'une glace au goût de papier.	Tu devrais leur montrer.		Parle-moi de l'une de tes "petites choses".	Ne te donne même pas la peine de dire quoi que ce soit.	Pourquoi as-tu arrêté d'essayer ?	Qu'est-ce qui te fait ressentir cela à son sujet ?	Pourquoi ne te demandent-ils pas ton avis ?	J'aimerais que tu puisses ressentir ça à mon sujet.	Tu as l'air sans poids.	Que se passe-t-il lorsque tu lâches prise ?	Le sang circule si facilement dans ton cerveau.	Je ne sais pas quoi te dire pour alléger les choses.	Reconnaître ton doute ne fera que te rapprocher de ton objectif.	 
Tu dois te calmer.	Tu apportes de la lumière à cet endroit.	Qui vas-tu détruire ?	As-tu heurté ta tête ou quelque chose comme ça ?	 	 		 	Si tu parles, le vide ne fera que voler ta voix.	Quand as-tu arrêté d'essayer ?	 	Ils te trouvent condescendant·e simplement parce qu'ils savent que tu as raison.	 	Comment en es-tu enfin venu·e à accepter cela ?	Où dans ton corps est ton origine ?	Pourquoi ne veux-tu pas attendre ?		Tu sais que la plupart de cela est subjectif. Ce qui compte, c'est comment tu le vis. Prends le contrôle.	 
Respire profondément et calme-toi.	 	 	 	 	 		 	Quand est-ce devenu si difficile ?	As-tu réfléchi à ce que tu manques ?	 	 	 	 	Tu ressembles à un lac immobile.		 	Quelque chose me dit que ce n'est pas la dernière fois que j'entends parler de toi.	 
Tout est dans ta tête.	 	 	 	 	 		 	 	Quand es-tu devenu·e aveugle ?	 	 	 	 	Tu me donnes envie de faire une pause un moment.	 	 	Tu me rappelles la gravité.	 
	 	 	 	 	 		 	 	 	 	 	 	 	Attendons et voyons.	 	 	En fin de compte, tu dois assumer la responsabilité de ton propre apprentissage.	 
	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 	Là où mes capacités se terminent, tes responsabilités commencent.	 
	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 	La vérité, c'est que tu sais que tu as peur. Et tu sais que c'est normal.	 
	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 		 
	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 		 
	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 		 
	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 		
	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 		
	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 		
	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 		
	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 		
	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 		
	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 	 	
	 	 	 	 	 		 	 	 	 	 	 	 	 	 	 	 	
	 		 	 	 		 	 	 	 	 	 	 	 	 	 	 	
	 		 	 	 		 	 	 	 	 	 	 	 	 	 	 	
	 		 	 	 		 	 	 	 	 	 	 	 	 	 	 	
	 		 	 	 		 	 	 	 	 	 	 	 	 	 	 	
	 																	
	 																	
	 																	
	 																	
	 																	
	 																	
	 																	
	 																	
	 																	
	 																	
